,fold,NON,Hugin,SIIC,NOPar,NOO,RComplexity,NOS,NOC,HuginCost,SIICCost,complexity,difference
0,0,5,46,16,2,0,24,2,0,24,19,20,30
1,1,5,63,16,2,0,28,2,0,28,23,20,47
2,2,5,47,0,2,0,32,2,0,32,23,20,47
3,3,5,47,0,2,0,24,2,0,24,23,20,47
4,4,5,47,0,2,0,32,2,0,32,23,20,47
5,0,20,62,0,2,0,888,2,0,888,111,80,62
6,1,20,63,16,2,0,572,2,0,572,109,80,47
7,2,20,62,0,2,0,696,2,0,696,110,80,62
8,3,20,63,16,2,0,816,2,0,816,109,80,47
9,4,20,63,0,2,0,804,2,0,804,106,80,63
10,0,50,85,31,2,0,21296,2,0,21296,289,200,54
11,1,50,100,47,2,0,40340,2,0,40340,286,200,53
12,2,50,97,32,2,0,36344,2,0,36344,291,200,65
13,3,50,109,47,2,0,156120,2,0,108248,285,200,62
14,4,50,110,31,2,0,109100,2,0,109100,291,200,79
15,0,5,47,0,3,0,32,2,0,32,27,40,47
16,1,5,46,16,3,0,32,2,0,32,23,40,30
17,2,5,47,0,3,0,20,2,0,20,21,40,47
18,3,5,47,0,3,0,32,2,0,32,23,40,47
19,4,5,47,0,3,0,24,2,0,24,25,40,47
20,0,20,62,15,3,0,4512,2,0,4512,171,160,47
21,1,20,62,0,3,0,3712,2,0,3712,167,160,62
22,2,20,63,16,3,0,2016,2,0,2016,148,160,47
23,3,20,63,16,3,0,4096,2,0,4096,165,160,47
24,4,20,63,16,3,0,5168,2,0,5168,166,160,47
25,0,50,144,79,3,0,11855136,2,0,11855136,469,400,65
26,1,50,125,47,3,0,2032892,2,0,2032892,433,400,78
27,2,50,140,109,3,0,12577520,2,0,11600624,454,400,31
28,3,50,125,63,3,0,3868872,2,0,3868872,450,400,62
29,4,50,109,47,3,0,3446416,2,0,4954128,456,400,62
30,0,5,47,0,5,0,32,2,0,32,27,160,47
31,1,5,46,0,5,0,24,2,0,24,27,160,46
32,2,5,63,16,5,0,16,2,0,16,22,160,47
33,3,5,63,15,5,0,20,2,0,20,27,160,48
34,4,5,47,0,5,0,28,2,0,28,22,160,47
35,0,20,63,0,5,0,24464,2,0,24464,377,640,63
36,1,20,63,16,5,0,19856,2,0,19856,323,640,47
37,2,20,62,16,5,0,22752,2,0,22752,382,640,46
38,3,20,63,0,5,0,10496,2,0,10496,351,640,63
39,4,20,62,16,5,0,63104,2,0,63104,399,640,46
40,0,50,15737,18152,5,0,1893935776,2,0,1893935776,1369,1600,-2415
41,2,50,1094,1250,5,0,161553856,2,0,161553856,1299,1600,-156
42,3,50,1937,2234,5,0,247039808,2,0,247039808,1377,1600,-297
43,0,5,62,15,2,0,108,3,0,108,46,90,47
44,1,5,47,0,2,0,108,3,0,108,40,90,47
45,2,5,47,0,2,0,90,3,0,90,34,90,47
46,3,5,47,0,2,0,90,3,0,90,34,90,47
47,4,5,47,0,2,0,108,3,0,108,40,90,47
48,0,20,63,0,2,0,3402,3,0,3402,194,360,63
49,1,20,62,16,2,0,12474,3,0,12474,212,360,46
50,2,20,62,0,2,0,5778,3,0,5778,208,360,62
51,3,20,63,16,2,0,7074,3,0,7074,214,360,47
52,4,20,63,16,2,0,4320,3,0,4320,202,360,47
53,0,50,156,63,2,0,5349672,3,0,5349672,568,900,93
54,1,50,203,125,2,0,24577614,3,0,24577614,562,900,78
55,2,50,140,78,2,0,6365574,3,0,6006906,568,900,62
56,3,50,141,47,2,0,1806012,3,0,1806012,560,900,94
57,4,50,110,62,2,0,3005802,3,0,6911298,562,900,48
58,0,5,47,0,3,0,108,3,0,108,50,270,47
59,1,5,47,0,3,0,90,3,0,90,52,270,47
60,2,5,47,0,3,0,108,3,0,108,56,270,47
61,3,5,47,0,3,0,108,3,0,108,46,270,47
62,4,5,47,0,3,0,108,3,0,108,40,270,47
63,0,20,62,0,3,0,33426,3,0,33426,410,1080,62
64,1,20,63,15,3,0,50544,3,0,50544,424,1080,48
65,2,20,62,15,3,0,40932,3,0,40932,418,1080,47
66,3,20,62,15,3,0,55674,3,0,55674,408,1080,47
67,4,20,47,0,3,0,34272,3,0,34272,404,1080,47
68,0,5,47,15,5,0,90,3,0,90,34,2430,32
69,1,5,47,0,5,0,108,3,0,108,40,2430,47
70,2,5,47,16,5,0,90,3,0,90,58,2430,31
71,3,5,47,0,5,0,108,3,0,108,58,2430,47
72,4,5,63,15,5,0,54,3,0,54,40,2430,48
73,0,20,63,15,5,0,1713636,3,0,1713636,2126,9720,48
74,1,20,63,16,5,0,992412,3,0,992412,1892,9720,47
75,2,20,62,15,5,0,2178252,3,0,2178252,2056,9720,47
76,3,20,78,47,5,0,5929686,3,0,5929686,2558,9720,31
77,4,20,78,32,5,0,3013686,3,0,3013686,2252,9720,46
78,0,5,47,0,2,0,96,4,0,96,37,240,47
79,1,5,47,0,2,0,208,4,0,208,58,240,47
80,2,5,47,0,2,0,112,4,0,112,49,240,47
81,3,5,47,0,2,0,256,4,0,256,49,240,47
82,4,5,63,0,2,0,208,4,0,208,49,240,63
83,0,20,62,15,2,0,22816,4,0,22816,325,960,47
84,1,20,62,16,2,0,44608,4,0,47680,349,960,46
85,2,20,63,16,2,0,11136,4,0,10368,322,960,47
86,3,20,63,16,2,0,24208,4,0,24208,325,960,47
87,4,20,63,16,2,0,51088,4,0,51088,325,960,47
88,0,50,219,156,2,0,32332944,4,0,32332944,913,2400,63
89,1,50,5796,6389,2,0,1229919232,4,0,1292830720,922,2400,-593
90,2,50,500,531,2,0,127674640,4,0,127674640,919,2400,-31
91,3,50,281,250,2,0,44786688,4,0,44792832,937,2400,31
92,4,50,141,93,2,0,13561168,4,0,14519632,913,2400,48
93,0,5,62,0,3,0,256,4,0,256,73,960,62
94,1,5,47,0,3,0,272,4,0,272,97,960,47
95,2,5,47,0,3,0,128,4,0,128,58,960,47
96,3,5,47,0,3,0,512,4,0,512,151,960,47
97,4,5,47,0,3,0,320,4,0,320,106,960,47
98,0,20,63,16,3,0,1417024,4,0,1417024,1033,3840,47
99,1,20,62,15,3,0,1261312,4,0,1261312,889,3840,47
100,2,20,62,16,3,0,676416,4,0,676416,907,3840,46
101,3,20,62,0,3,0,527104,4,0,527104,985,3840,62
102,4,20,62,16,3,0,654336,4,0,654336,937,3840,46
103,0,5,46,16,5,0,320,4,0,320,118,15360,30
104,1,5,47,15,5,0,320,4,0,320,121,15360,32
105,2,5,47,16,5,0,512,4,0,512,157,15360,31
106,3,5,47,0,5,0,0,4,0,0,346,15360,47
107,4,5,47,0,5,0,208,4,0,208,49,15360,47
108,0,20,1047,1156,5,0,225185792,4,0,225185792,8935,61440,-109
109,1,20,125,109,5,0,12065792,4,0,12065792,6253,61440,16
110,2,20,171,172,5,0,20606976,4,0,20606976,8365,61440,-1
111,3,20,79,47,5,0,5402624,4,0,5402624,6697,61440,32
112,4,20,2968,3312,5,0,346165248,4,0,346165248,7213,61440,-344
113,0,5,47,0,2,1,160,2,1,176,52,40,47
114,1,5,62,0,2,1,104,2,1,96,45,40,62
115,2,5,63,15,2,1,104,2,1,136,45,40,48
116,3,5,63,0,2,1,96,2,1,104,43,40,63
117,4,5,47,16,2,1,112,2,1,120,47,40,31
118,3,20,78,31,2,1,11584,2,1,98392,221,160,47
119,4,20,78,31,2,1,25648,2,1,170960,244,160,47
120,0,50,750,78,2,1,160307400,2,1,87355896,618,400,672
121,1,50,188,109,2,1,5108816,2,1,24585360,614,400,79
122,0,5,62,16,3,1,112,2,1,288,49,80,46
123,1,5,62,0,3,1,112,2,1,104,55,80,62
124,2,5,47,15,3,1,152,2,1,200,57,80,32
125,3,5,46,16,3,1,176,2,1,272,47,80,30
126,4,5,62,0,3,1,120,2,1,144,42,80,62
127,0,20,63,31,3,1,11608,2,1,29752,316,320,32
128,1,20,78,31,3,1,18784,2,1,37824,327,320,47
129,2,20,78,31,3,1,15424,2,1,90528,343,320,47
130,3,20,78,31,3,1,9776,2,1,14128,313,320,47
131,0,50,1047,93,3,1,215493888,2,1,296937344,979,800,954
132,0,5,62,0,5,1,192,2,1,176,70,320,62
133,1,5,62,0,5,1,144,2,1,160,56,320,62
134,2,5,62,16,5,1,128,2,1,168,57,320,46
135,3,5,47,0,5,1,176,2,1,192,64,320,47
136,4,5,63,16,5,1,112,2,1,304,41,320,47
137,0,20,78,16,5,1,45248,2,1,68416,721,1280,62
138,2,20,78,15,5,1,68576,2,1,94944,843,1280,63
139,4,20,78,31,5,1,102016,2,1,140928,861,1280,47
140,0,5,62,16,2,1,324,3,1,378,82,180,46
141,1,5,47,15,2,1,486,3,1,540,94,180,32
142,2,5,47,0,2,1,648,3,1,810,108,180,47
143,3,5,63,15,2,1,324,3,1,918,68,180,48
144,4,5,62,0,2,1,360,3,1,360,82,180,62
145,0,20,78,16,2,1,1404108,3,1,6099030,476,720,62
146,1,20,78,31,2,1,29484,3,1,28674,424,720,47
147,2,20,78,31,2,1,95472,3,1,176634,482,720,47
148,3,20,79,31,2,1,69498,3,1,380970,418,720,48
149,0,5,63,0,3,1,648,3,1,1188,76,540,63
150,1,5,46,15,3,1,810,3,1,810,160,540,31
151,2,5,63,16,3,1,594,3,1,810,124,540,47
152,3,5,63,16,3,1,810,3,1,1458,166,540,47
153,4,5,62,15,3,1,324,3,1,594,92,540,47
154,0,20,78,32,3,1,726354,3,1,2924370,938,2160,46
155,1,20,78,31,3,1,727866,3,1,1213380,1006,2160,47
156,3,20,74,15,3,1,1102248,3,1,16689726,946,2160,59
157,0,5,47,0,5,1,972,3,1,7290,244,4860,47
158,1,5,62,16,5,1,360,3,1,954,70,4860,46
159,2,5,62,16,5,1,648,3,1,972,118,4860,46
160,3,5,47,0,5,1,972,3,1,1242,166,4860,47
161,4,5,47,15,5,1,378,3,1,378,94,4860,32
162,0,20,94,47,5,1,6343758,3,1,30230172,5378,19440,47
163,2,20,156,47,5,1,15478128,3,1,17064432,4448,19440,109
164,3,20,141,47,5,1,13553082,3,1,58898340,5164,19440,94
165,0,5,63,15,2,1,2176,4,1,2432,129,480,48
166,1,5,47,16,2,1,2048,4,1,3328,207,480,31
167,2,5,47,0,2,1,896,4,1,16704,118,480,47
168,3,5,63,15,2,1,768,4,1,1664,114,480,48
169,4,5,47,0,2,1,1088,4,1,6464,106,480,47
170,1,20,110,32,2,1,8372800,4,1,170435648,897,1920,78
171,4,20,78,31,2,1,3432960,4,1,9522688,813,1920,47
172,0,5,63,16,3,1,1280,4,1,1280,222,1920,47
173,1,5,62,0,3,1,2880,4,1,5184,154,1920,62
174,2,5,47,0,3,1,1856,4,1,4864,157,1920,47
175,3,5,47,15,3,1,1280,4,1,3968,106,1920,32
176,4,5,62,16,3,1,1024,4,1,5184,189,1920,46
177,0,20,156,31,3,1,16120320,4,1,65363456,1863,7680,125
178,2,20,125,31,3,1,11341056,4,1,68320256,2058,7680,94
179,3,20,94,15,3,1,5254912,4,1,305597440,1889,7680,79
180,4,20,109,15,3,1,7324928,4,1,35009024,2089,7680,94
181,0,5,62,16,5,1,1936,4,1,2240,141,30720,46
182,1,5,47,0,5,1,1280,4,1,6720,157,30720,47
183,2,5,47,15,5,1,5376,4,1,10240,373,30720,32
184,3,5,47,16,5,1,1216,4,1,1472,126,30720,31
185,4,5,47,15,5,1,768,4,1,1984,117,30720,32
186,0,20,4608,640,5,1,414422016,4,1,17671721984,21013,122880,3968
187,3,20,1328,281,5,1,201523200,4,1,792084480,20857,122880,1047
188,4,20,12497,1016,5,1,1874235392,4,1,17343451136,19210,122880,11481
189,0,5,63,16,2,2,384,2,1,1680,79,60,47
190,1,5,63,0,2,2,152,2,1,616,60,60,63
191,2,5,63,16,2,2,176,2,1,200,65,60,47
192,3,5,62,16,2,2,200,2,1,384,71,60,46
193,4,5,47,15,2,2,160,2,1,192,55,60,32
194,0,20,78,47,2,2,53656,2,1,102072,362,240,31
195,1,20,63,47,2,2,17392,2,1,39464,345,240,16
196,2,20,78,47,2,2,16928,2,1,163360,369,240,31
197,4,20,62,62,2,2,31232,2,1,108368,342,240,0
198,0,50,219,219,2,2,17020784,2,1,162366464,905,600,0
199,0,5,62,15,3,2,140,2,1,164,67,120,47
200,1,5,62,0,3,2,208,2,1,272,79,120,62
201,2,5,63,16,3,2,400,2,1,400,83,120,47
202,3,5,62,16,3,2,144,2,1,184,77,120,46
203,4,5,62,15,3,2,232,2,1,320,83,120,47
204,0,20,63,31,3,2,15328,2,1,35696,469,480,32
205,1,20,78,47,3,2,123488,2,1,862976,560,480,31
206,2,20,78,46,3,2,74144,2,1,153664,487,480,32
207,3,20,78,47,3,2,40880,2,1,143664,513,480,31
208,0,50,469,203,3,2,63857776,2,1,560028560,1431,1200,266
209,2,50,453,172,3,2,81345136,2,1,381893616,1367,1200,281
210,0,5,62,16,5,2,184,2,1,720,83,480,46
211,1,5,62,16,5,2,336,2,1,448,76,480,46
212,2,5,47,0,5,2,208,2,1,240,89,480,47
213,3,5,62,16,5,2,144,2,1,152,72,480,46
214,4,5,63,0,5,2,168,2,1,488,60,480,63
215,1,20,78,47,5,2,109952,2,1,403136,1046,1920,31
216,2,20,79,15,5,2,194368,2,1,481088,1249,1920,64
217,3,20,78,46,5,2,62528,2,1,134976,1109,1920,32
218,4,50,52104,2952,5,2,3450799424,2,1,7920279872,4034,4800,49152
219,0,5,62,16,2,2,3888,3,1,14580,160,270,46
220,1,5,62,16,2,2,594,3,1,702,134,270,46
221,2,5,62,0,2,2,3240,3,1,8100,182,270,62
222,3,5,62,16,2,2,2430,3,1,178848,310,270,46
223,4,5,62,0,2,2,702,3,1,756,142,270,62
224,2,20,94,31,2,2,4246614,3,1,179823024,842,1080,63
225,4,20,78,47,2,2,1298484,3,1,180300384,766,1080,31
226,0,5,63,16,3,2,1296,3,1,1620,136,810,47
227,1,5,47,0,3,2,1296,3,1,1458,202,810,47
228,2,5,63,16,3,2,2106,3,1,9396,170,810,47
229,3,5,63,16,3,2,1080,3,1,1350,238,810,47
230,4,5,62,16,3,2,1242,3,1,2538,212,810,46
231,0,20,94,47,3,2,3307230,3,1,17544600,1488,3240,47
232,3,20,78,31,3,2,1970568,3,1,75370662,1560,3240,47
233,4,20,78,47,3,2,3350970,3,1,64114578,1646,3240,31
234,0,5,63,16,5,2,1296,3,1,2106,232,7290,47
235,1,5,63,15,5,2,1782,3,1,75168,256,7290,48
236,2,5,62,15,5,2,5832,3,1,79218,346,7290,47
237,3,5,63,15,5,2,1080,3,1,2106,154,7290,48
238,4,5,62,16,5,2,1944,3,1,2430,322,7290,46
239,0,20,141,47,5,2,10056798,3,1,12348774,7202,29160,94
240,2,20,125,47,5,2,11461338,3,1,21053520,6872,29160,78
241,3,20,578,62,5,2,138897828,3,1,3389466546,8292,29160,516
242,4,20,422,94,5,2,84617946,3,1,177390486,8492,29160,328
243,0,5,63,15,2,2,10432,4,1,21056,341,720,48
244,1,5,63,16,2,2,1280,4,1,2432,173,720,47
245,2,5,63,0,2,2,3584,4,1,13568,202,720,63
246,3,5,63,0,2,2,2112,4,1,3776,233,720,63
247,4,5,63,0,2,2,1984,4,1,2688,254,720,63
248,0,20,78,47,2,2,1733248,4,1,115732864,1357,2880,31
249,1,20,78,47,2,2,160768,4,1,1065728,957,2880,31
250,2,20,156,47,2,2,24819520,4,1,1086215936,1505,2880,109
251,3,20,79,47,2,2,2453568,4,1,17529536,1250,2880,32
252,0,5,62,16,3,2,7744,4,1,16640,278,2880,46
253,1,5,63,15,3,2,4032,4,1,16448,293,2880,48
254,2,5,47,15,3,2,7936,4,1,59392,350,2880,32
255,3,5,63,0,3,2,9472,4,1,20480,422,2880,63
256,4,5,63,16,3,2,3584,4,1,6144,422,2880,47
257,0,5,63,16,5,2,19264,4,1,53504,337,46080,47
258,1,5,47,0,5,2,20224,4,1,220160,598,46080,47
259,2,5,47,0,5,2,9856,4,1,22656,389,46080,47
260,3,5,47,15,5,2,7296,4,1,13312,442,46080,32
261,4,5,47,16,5,2,24832,4,1,205056,469,46080,31
262,3,20,3718,546,5,2,660611072,4,1,14855053312,40109,184320,3172
263,0,5,62,15,2,3,296,2,1,432,92,80,47
264,1,5,62,15,2,3,224,2,1,1832,93,80,47
265,2,5,62,16,2,3,408,2,1,496,83,80,46
266,3,5,63,16,2,3,400,2,1,2816,115,80,47
267,4,5,62,16,2,3,416,2,1,2432,95,80,46
268,1,20,78,63,2,3,25208,2,1,120784,470,320,15
269,4,20,78,47,2,3,111656,2,1,9781304,490,320,31
270,0,5,63,16,3,3,528,2,1,976,111,160,47
271,1,5,63,16,3,3,552,2,1,1440,99,160,47
272,2,5,63,16,3,3,296,2,1,552,105,160,47
273,3,5,47,0,3,3,264,2,1,360,109,160,47
274,4,5,62,15,3,3,592,2,1,2112,110,160,47
275,2,20,79,47,3,3,90912,2,1,390224,745,640,32
276,0,5,47,0,5,3,624,2,1,4416,151,640,47
277,1,5,78,16,5,3,416,2,1,640,81,640,62
278,2,5,62,15,5,3,400,2,1,416,141,640,47
279,3,5,62,15,5,3,688,2,1,1056,117,640,47
280,4,5,47,15,5,3,528,2,1,592,110,640,32
281,0,20,78,47,5,3,240384,2,1,442688,1439,2560,31
282,1,20,79,47,5,3,249024,2,1,501184,1912,2560,32
283,2,20,78,31,5,3,344128,2,1,4056960,1812,2560,47
284,4,20,78,31,5,3,208064,2,1,458176,1723,2560,47
285,0,5,62,15,2,3,756,3,1,1998,154,360,47
286,1,5,46,16,2,3,1242,3,1,4158,208,360,30
287,2,5,62,16,2,3,810,3,1,972,170,360,46
288,3,5,47,0,2,3,4860,3,1,4050,374,360,47
289,4,5,62,15,2,3,1944,3,1,29160,196,360,47
290,1,20,1406,62,2,3,456463188,3,1,157465431756,1224,1440,1344
291,2,20,94,46,2,3,8540586,3,1,20920464,1002,1440,48
292,3,20,516,47,2,3,149648634,3,1,4835539620,1310,1440,469
293,0,5,63,16,3,3,1134,3,1,4482,278,1080,47
294,1,5,47,16,3,3,2430,3,1,9558,296,1080,31
295,2,5,46,16,3,3,1566,3,1,5454,202,1080,30
296,3,5,62,15,3,3,1620,3,1,2268,242,1080,47
297,4,5,62,0,3,3,1242,3,1,1728,188,1080,62
298,3,20,78,78,3,3,572670,3,1,1024812,1742,4320,0
299,4,20,78,47,3,3,1188756,3,1,3452058,1952,4320,31
300,0,5,62,15,5,3,2106,3,1,20412,296,9720,47
301,1,5,63,31,5,3,4860,3,1,5184,362,9720,32
302,2,5,62,16,5,3,1458,3,1,4536,478,9720,46
303,3,5,62,15,5,3,4374,3,1,835434,1160,9720,47
304,4,5,47,15,5,3,1296,3,1,1296,216,9720,32
305,0,20,421,62,5,3,51754626,3,1,470575332,10618,38880,359
306,1,20,359,47,5,3,66394404,3,1,2539958472,12800,38880,312
307,3,20,4015,156,5,3,996455520,3,1,60379790958,14290,38880,3859
308,4,20,109,47,5,3,8609490,3,1,1997944056,9516,38880,62
309,0,5,63,15,2,3,2048,4,1,8128,289,960,48
310,1,5,62,16,2,3,15040,4,1,18877120,793,960,46
311,2,5,62,15,2,3,9408,4,1,1314112,397,960,47
312,3,5,62,16,2,3,27904,4,1,102400,730,960,46
313,4,5,62,16,2,3,5632,4,1,33024,529,960,46
314,2,20,5593,47,2,3,1723992320,4,1,11710112512,1954,3840,5546
315,0,5,62,16,3,3,6720,4,1,248896,565,3840,46
316,1,5,62,15,3,3,7168,4,1,17408,709,3840,47
317,2,5,47,16,3,3,4992,4,1,67712,511,3840,31
318,3,5,62,16,3,3,20992,4,1,397568,745,3840,46
319,4,5,62,16,3,3,12288,4,1,75776,829,3840,46
320,1,20,109,62,3,3,8982272,4,1,1353416448,4777,15360,47
321,4,20,95836,94,3,3,3844420096,4,1,965329891840,5698,15360,95742
322,0,5,47,16,5,3,151296,4,1,268444416,5530,61440,31
323,1,5,63,16,5,3,3584,4,1,5056,370,61440,47
324,2,5,62,16,5,3,5568,4,1,9024,385,61440,46
325,3,5,47,16,5,3,4032,4,1,77056,541,61440,31
326,4,5,62,0,5,3,6912,4,1,84224,382,61440,62
327,0,20,308723,893275,5,3,3488298240,4,1,13980857600,36982,245760,-584552
328,0,5,62,16,2,1,272,2,2,1264,69,60,46
329,1,5,63,16,2,1,184,2,2,192,58,60,47
330,2,5,62,16,2,1,304,2,2,720,79,60,46
331,3,5,62,15,2,1,320,2,2,336,70,60,47
332,4,5,78,16,2,1,216,2,2,336,74,60,62
333,0,20,94,47,2,1,10288,2,2,27368,328,240,47
334,2,50,4639,250,2,1,1318162352,2,2,949363776,934,600,4389
335,0,5,63,31,3,1,200,2,2,672,73,120,32
336,1,5,78,16,3,1,224,2,2,344,74,120,62
337,2,5,63,16,3,1,216,2,2,408,80,120,47
338,3,5,78,16,3,1,288,2,2,416,70,120,62
339,4,5,62,16,3,1,208,2,2,464,81,120,46
340,0,20,109,32,3,1,53952,2,2,138144,481,480,77
341,2,20,94,31,3,1,50320,2,2,342480,523,480,63
342,4,20,93,31,3,1,74576,2,2,222576,505,480,62
343,0,5,63,16,5,1,200,2,2,216,81,480,47
344,1,5,63,16,5,1,216,2,2,440,82,480,47
345,2,5,78,15,5,1,224,2,2,280,78,480,63
346,3,5,63,16,5,1,168,2,2,168,85,480,47
347,4,5,62,15,5,1,240,2,2,352,85,480,47
348,0,20,94,15,5,1,241920,2,2,1985408,1179,1920,79
349,3,20,78,47,5,1,171008,2,2,475904,1283,1920,31
350,0,5,63,16,2,1,1188,3,2,9504,142,270,47
351,1,5,63,16,2,1,1296,3,2,7506,140,270,47
352,2,5,78,15,2,1,756,3,2,1566,122,270,63
353,3,5,63,15,2,1,1188,3,2,3240,130,270,48
354,4,5,62,16,2,1,1080,3,2,2754,124,270,46
355,0,20,78,31,2,1,259416,3,2,3826008,748,1080,47
356,0,5,62,15,3,1,1458,3,2,4698,182,810,47
357,1,5,63,16,3,1,540,3,2,1296,110,810,47
358,2,5,62,0,3,1,1404,3,2,2700,208,810,62
