,fold,NON,Hugin,SIIC,NOPar,NOO,RComplexity,NOS,NOC,HuginCost,SIICCost,complexity,difference
359,3,5,63,16,3,1,972,3,2,28350,166,810,47
360,4,5,63,16,3,1,2268,3,2,3402,182,810,47
361,1,20,94,31,3,1,2339604,3,2,8147790,1454,3240,63
362,2,20,125,47,3,1,4636278,3,2,9837612,1358,3240,78
363,3,20,109,32,3,1,2897046,3,2,17261748,1636,3240,77
364,0,5,63,0,5,1,972,3,2,1458,248,7290,63
365,1,5,62,16,5,1,1998,3,2,9018,236,7290,46
366,2,5,63,16,5,1,2052,3,2,8100,242,7290,47
367,3,5,62,16,5,1,702,3,2,7290,136,7290,46
368,4,5,62,15,5,1,1350,3,2,2376,142,7290,47
369,0,20,235,78,5,1,24732864,3,2,259199676,7526,29160,157
370,1,20,234,78,5,1,40105206,3,2,161969220,8552,29160,156
371,4,20,344,47,5,1,45547920,3,2,1525814496,7610,29160,297
372,0,5,63,16,2,1,3968,4,2,17280,261,720,47
373,1,5,63,16,2,1,3520,4,2,6272,221,720,47
374,2,5,62,16,2,1,5248,4,2,16000,278,720,46
375,3,5,63,16,2,1,4032,4,2,24640,281,720,47
376,4,5,63,31,2,1,928,4,2,2144,145,720,32
377,3,20,2922,47,2,1,829942400,4,2,345330054272,1470,2880,2875
378,4,20,515,47,2,1,121039552,4,2,4709141760,1486,2880,468
379,0,5,62,16,3,1,3456,4,2,12864,309,2880,46
380,1,5,62,16,3,1,4480,4,2,12032,394,2880,46
381,2,5,62,15,3,1,1856,4,2,8064,273,2880,47
382,3,5,62,15,3,1,7296,4,2,56576,417,2880,47
383,4,5,62,16,3,1,3904,4,2,7680,429,2880,46
384,3,20,296,47,3,1,53131776,4,2,1387458048,3681,11520,249
385,4,20,296,31,3,1,63316736,4,2,520598272,3605,11520,265
386,0,5,62,15,5,1,1088,4,2,10048,229,46080,47
387,1,5,62,15,5,1,3072,4,2,53248,377,46080,47
388,2,5,62,15,5,1,5632,4,2,7936,369,46080,47
389,3,5,63,16,5,1,4736,4,2,16384,429,46080,47
390,4,5,63,16,5,1,4864,4,2,67456,245,46080,47
391,0,20,2577,1453,5,1,477565952,4,2,10274493440,29397,184320,1124
392,1,20,4515,297,5,1,391706624,4,2,1896002560,27369,184320,4218
393,2,20,10170,312,5,1,1189428224,4,2,5331549184,28737,184320,9858
394,3,20,6842,2203,5,1,1265541120,4,2,5887893504,36549,184320,4639
395,0,5,63,15,2,2,360,2,2,640,117,100,48
396,1,5,78,15,2,2,368,2,2,944,121,100,63
397,2,5,62,16,2,2,560,2,2,3456,127,100,46
398,3,5,63,16,2,2,608,2,2,1056,119,100,47
399,4,5,62,16,2,2,368,2,2,528,128,100,46
400,1,20,110,94,2,2,277024,2,2,15824384,618,400,16
401,3,20,78,109,2,2,397568,2,2,289632,585,400,-31
402,0,5,78,15,3,2,656,2,2,5584,136,200,63
403,1,5,63,16,3,2,512,2,2,1024,139,200,47
404,2,5,63,16,3,2,720,2,2,1632,118,200,47
405,3,5,62,16,3,2,384,2,2,496,132,200,46
406,4,5,62,15,3,2,320,2,2,24832,139,200,47
407,3,20,109,62,3,2,496000,2,2,17324416,929,800,47
408,0,50,59027,768,3,2,3452209200,2,2,34644586416,2386,2000,58259
409,0,5,62,15,5,2,704,2,2,2112,143,800,47
410,1,5,78,31,5,2,496,2,2,2336,127,800,47
411,2,5,63,31,5,2,624,2,2,2528,141,800,32
412,3,5,63,16,5,2,640,2,2,1728,129,800,47
413,4,5,63,15,5,2,384,2,2,432,129,800,48
414,0,20,93,47,5,2,262080,2,2,685760,2117,3200,46
415,1,20,109,62,5,2,598720,2,2,3411648,2200,3200,47
416,2,20,110,47,5,2,349632,2,2,2039744,2193,3200,63
417,4,20,94,47,5,2,1336768,2,2,4417408,2225,3200,47
418,0,5,62,16,2,2,4266,3,2,38826,280,450,46
419,1,5,62,15,2,2,3402,3,2,28998,300,450,47
420,2,5,62,16,2,2,2592,3,2,1064988,404,450,46
421,3,5,62,15,2,2,2214,3,2,13230,274,450,47
422,4,5,62,16,2,2,3672,3,2,119826,284,450,46
423,0,20,968,94,2,2,275671998,3,2,941225184,1358,1800,874
424,3,20,125,110,2,2,5546340,3,2,533551158,1286,1800,15
425,0,5,63,15,3,2,3942,3,2,891324,400,1350,48
426,1,5,62,16,3,2,2106,3,2,9018,274,1350,46
427,2,5,62,16,3,2,14148,3,2,295326,628,1350,46
428,3,5,62,15,3,2,2646,3,2,53514,274,1350,47
429,4,5,62,16,3,2,7776,3,2,257094,388,1350,46
430,1,20,203,62,3,2,32804352,3,2,107622594,3010,5400,141
431,2,20,109,78,3,2,7156998,3,2,52665714,2584,5400,31
432,3,20,297,62,3,2,69077448,3,2,42075669996,3116,5400,235
433,0,5,62,16,5,2,4644,3,2,33804,558,12150,46
434,1,5,78,15,5,2,2376,3,2,20844,454,12150,63
435,2,5,63,15,5,2,4644,3,2,120690,454,12150,48
436,3,5,62,16,5,2,3294,3,2,6804,520,12150,46
437,4,5,62,15,5,2,2646,3,2,9666,454,12150,47
438,2,20,250,125,5,2,30289950,3,2,292135086,10436,48600,125
439,3,20,360,63,5,2,57792204,3,2,5990279022,10994,48600,297
440,0,5,63,16,2,2,11008,4,2,343808,641,1200,47
441,1,5,78,16,2,2,3392,4,2,9728,441,1200,62
442,2,5,62,31,2,2,16768,4,2,990848,782,1200,31
443,3,5,62,16,2,2,14208,4,2,5410560,1029,1200,46
444,4,5,63,32,2,2,3904,4,2,9344,357,1200,31
445,4,20,203,109,2,2,36088064,4,2,1752873216,2665,4800,94
446,0,5,62,47,3,2,129024,4,2,12820480,17709,4800,15
447,1,5,63,16,3,2,89728,4,2,21240768,2670,4800,47
448,2,5,62,31,3,2,8192,4,2,91904,809,4800,31
449,3,5,63,31,3,2,7680,4,2,334976,713,4800,32
450,4,5,63,15,3,2,133760,4,2,156288,4297,4800,48
451,2,20,8029,63,3,2,2048587008,4,2,5773514788096,7601,19200,7966
452,3,20,968,93,3,2,296074752,4,2,2359446016,6441,19200,875
453,0,5,62,16,5,2,46208,4,2,324416,1854,76800,46
454,1,5,63,16,5,2,18688,4,2,1059328,581,76800,47
455,2,5,63,16,5,2,13312,4,2,368640,933,76800,47
456,3,5,62,31,5,2,11264,4,2,101632,1137,76800,31
457,4,5,63,16,5,2,22144,4,2,263424,1471,76800,47
458,2,20,8279,1000,5,2,804665600,4,2,1549334784,43610,307200,7279
459,3,20,12419,1125,5,2,1848449024,4,2,60748240896,40374,307200,11294
460,4,20,2031,297,5,2,381816832,4,2,3596505088,65481,307200,1734
461,0,5,63,15,2,3,1552,2,2,19104,191,140,48
462,1,5,63,15,2,3,1008,2,2,12896,200,140,48
463,2,5,78,31,2,3,904,2,2,10984,167,140,47
464,4,5,62,31,2,3,744,2,2,2232,146,140,31
465,1,20,125,156,2,3,314376,2,2,175452416,891,560,-31
466,3,20,94,156,2,3,974984,2,2,1624233928,860,560,-62
467,1,5,63,16,3,3,1600,2,2,6272,225,280,47
468,2,5,78,31,3,3,5168,2,2,203280,280,280,47
469,3,5,63,31,3,3,2640,2,2,167520,306,280,32
470,4,5,62,31,3,3,1312,2,2,8040,189,280,31
471,2,20,109,203,3,3,749632,2,2,47472768,1357,1120,-94
472,0,5,78,31,5,3,1984,2,2,29568,228,1120,47
473,1,5,62,31,5,3,2624,2,2,664336,505,1120,31
474,2,5,62,15,5,3,2256,2,2,119488,251,1120,47
475,3,5,63,16,5,3,640,2,2,7440,209,1120,47
476,4,5,62,16,5,3,2304,2,2,27584,256,1120,46
477,0,20,110,109,5,3,969536,2,2,18091008,3007,4480,1
478,1,20,109,94,5,3,283712,2,2,530176,2825,4480,15
479,3,20,110,94,5,3,440000,2,2,966592,2716,4480,16
480,0,5,62,16,2,3,6318,3,2,1359504,430,630,46
481,1,5,62,31,2,3,9396,3,2,1282392,358,630,31
482,2,5,63,15,2,3,325620,3,2,2754995490,1960,630,48
483,3,5,63,32,2,3,19926,3,2,10099296,1430,630,31
484,4,5,62,15,2,3,14256,3,2,10100214,664,630,47
485,3,20,391,141,2,3,87450030,3,2,119624861551410,2330,2520,250
486,0,5,63,31,3,3,5508,3,2,35964,602,1890,32
487,1,5,62,15,3,3,6642,3,2,123714,530,1890,47
488,2,5,62,31,3,3,12150,3,2,11164716,664,1890,31
489,3,5,63,47,3,3,11340,3,2,12759930,1468,1890,16
490,4,5,62,16,3,3,5022,3,2,140886,440,1890,46
491,2,20,172,141,3,3,21476988,3,2,83748168,3552,7560,31
492,4,20,328,141,3,3,69672960,3,2,139705487586,4510,7560,187
493,0,5,62,32,5,3,18630,3,2,427032,1070,17010,30
494,2,5,63,15,5,3,6156,3,2,160218,610,17010,48
495,3,5,62,16,5,3,2754,3,2,43902,332,17010,46
496,4,5,62,16,5,3,37422,3,2,1424628,2800,17010,46
497,0,20,406,94,5,3,63016218,3,2,269097228,19882,68040,312
498,3,20,3874,109,5,3,1000724544,3,2,3410367486300,22228,68040,3765
499,4,20,1640,125,5,3,272048220,3,2,411795261565290,23096,68040,1515
500,0,5,62,16,2,3,25152,4,2,536882176,1837,1680,46
501,1,5,63,32,2,3,63680,4,2,117971008,2662,1680,31
502,2,5,63,15,2,3,30400,4,2,357952,1558,1680,48
503,3,5,63,15,2,3,46976,4,2,10494016,2674,1680,48
504,4,5,63,32,2,3,74880,4,2,23865152,3442,1680,31
505,1,20,890,266,2,3,232499200,4,2,17747429632,4117,6720,624
506,0,5,62,31,3,3,82944,4,2,1375232,2821,6720,31
507,1,5,63,32,3,3,76736,4,2,155136,1561,6720,31
508,2,5,62,15,3,3,13760,4,2,1872064,1078,6720,47
509,3,5,62,32,3,3,818176,4,2,549760017664,4381,6720,30
510,4,5,79,16,3,3,69568,4,2,3170240,5809,6720,63
511,0,5,63,15,5,3,29376,4,2,381120,3271,107520,48
512,1,5,62,32,5,3,74688,4,2,1621236224,3025,107520,30
513,2,5,62,32,5,3,24192,4,2,7344896,1237,107520,30
514,3,5,62,31,5,3,123584,4,2,471871936,3478,107520,31
515,4,5,63,15,5,3,40896,4,2,670912,2050,107520,48
516,1,20,10310,344,5,3,1969266688,4,2,2204199317504,68989,430080,9966
517,0,5,62,15,2,1,368,2,3,1408,95,80,47
518,1,5,62,16,2,1,392,2,3,1256,91,80,46
519,2,5,62,31,2,1,312,2,3,512,93,80,31
520,3,5,63,16,2,1,376,2,3,8960,101,80,47
521,4,5,62,16,2,1,368,2,3,984,83,80,46
522,2,20,109,78,2,1,28328,2,3,115504,489,320,31
523,3,20,110,47,2,1,185720,2,3,17259288,498,320,63
524,4,20,110,62,2,1,326424,2,3,444808,469,320,48
525,0,5,78,15,3,1,312,2,3,520,107,160,63
526,1,5,62,15,3,1,424,2,3,1168,104,160,47
527,2,5,62,16,3,1,488,2,3,1272,99,160,46
528,3,5,63,15,3,1,384,2,3,768,106,160,48
529,4,5,62,16,3,1,440,2,3,1360,101,160,46
530,0,20,109,62,3,1,81704,2,3,851312,700,640,47
531,0,5,63,16,5,1,696,2,3,2184,146,640,47
532,1,5,62,16,5,1,416,2,3,768,93,640,46
533,2,5,78,32,5,1,304,2,3,1088,108,640,46
534,3,5,63,16,5,1,280,2,3,416,104,640,47
535,4,5,62,15,5,1,320,2,3,2296,93,640,47
536,0,20,109,47,5,1,289280,2,3,1749888,1631,2560,62
537,1,20,94,47,5,1,206976,2,3,582656,1470,2560,47
538,3,20,110,47,5,1,314240,2,3,1244800,1728,2560,63
539,0,5,62,15,2,1,6426,3,3,67878,310,360,47
540,1,5,63,16,2,1,1620,3,3,11880,244,360,47
541,2,5,78,15,2,1,1566,3,3,3942,220,360,63
542,3,5,81,16,2,1,1242,3,3,10044,196,360,65
543,4,5,62,31,2,1,1836,3,3,24030,232,360,31
544,0,20,141,63,2,1,2987658,3,3,23569596,1002,1440,78
545,1,20,125,78,2,1,1873638,3,3,291134682,1076,1440,47
546,4,20,141,63,2,1,6225444,3,3,66366324,992,1440,78
547,0,5,63,16,3,1,1890,3,3,9072,242,1080,47
548,1,5,63,15,3,1,1674,3,3,14580,248,1080,48
549,2,5,63,16,3,1,2214,3,3,100116,298,1080,47
550,3,5,78,16,3,1,2646,3,3,80406,188,1080,62
551,4,5,63,15,3,1,2754,3,3,7074,256,1080,48
552,1,20,125,63,3,1,6978312,3,3,63513234,2074,4320,62
553,2,20,141,63,3,1,12673098,3,3,333498708,2046,4320,78
554,0,5,63,15,5,1,2160,3,3,6804,334,9720,48
555,1,5,78,16,5,1,1242,3,3,1998,266,9720,62
556,2,5,63,15,5,1,2754,3,3,11826,250,9720,48
557,3,5,78,16,5,1,3186,3,3,11178,404,9720,62
558,4,5,78,16,5,1,1512,3,3,3672,206,9720,62
559,0,20,750,125,5,1,148972608,3,3,12198738996,10202,38880,625
560,1,20,296,62,5,1,36979254,3,3,157633128,10118,38880,234
561,3,20,360,62,5,1,59312898,3,3,931965264,11228,38880,298
562,4,20,218,78,5,1,21265416,3,3,211830390,9386,38880,140
563,0,5,63,15,2,1,6784,4,3,272512,370,960,48
564,1,5,63,31,2,1,4352,4,3,69376,346,960,32
565,2,5,62,31,2,1,31680,4,3,1060672,722,960,31
566,3,5,78,15,2,1,13696,4,3,73280,389,960,63
567,4,5,63,16,2,1,7232,4,3,462976,385,960,47
568,3,20,1235,62,2,1,363342848,4,3,30374176576,1961,3840,1173
569,0,5,78,16,3,1,10816,4,3,4205632,425,3840,62
570,1,5,78,15,3,1,5760,4,3,71424,369,3840,63
571,2,5,78,16,3,1,19968,4,3,265216,790,3840,62
572,3,5,63,15,3,1,16704,4,3,16960,1693,3840,48
573,4,5,62,15,3,1,3584,4,3,5632,425,3840,47
574,1,20,1187,47,3,1,353553152,4,3,217134501120,3809,15360,1140
575,3,20,5108,62,3,1,1304472832,4,3,277496300800,6849,15360,5046
576,4,20,640,78,3,1,146007040,4,3,86346778624,5370,15360,562
577,1,5,62,16,5,1,5504,4,3,22336,362,61440,46
578,2,5,78,16,5,1,8384,4,3,26368,530,61440,62
579,3,5,78,16,5,1,3648,4,3,27072,349,61440,62
580,4,5,63,15,5,1,17600,4,3,244736,1533,61440,48
581,2,20,4738,141,5,1,895205376,4,3,9463549952,44947,245760,4597
582,3,20,7686,203,5,1,772542464,4,3,16692441088,38102,245760,7483
583,4,20,9498,2437,5,1,1272291328,4,3,287194390528,41593,245760,7061
584,0,5,62,31,2,2,1856,2,3,131584,276,140,31
585,1,5,63,32,2,2,1632,2,3,57744,292,140,31
586,2,5,78,31,2,2,688,2,3,4488,176,140,47
587,3,5,62,15,2,2,1760,2,3,31232,207,140,47
588,4,5,63,16,2,2,1472,2,3,238000,235,140,47
589,0,20,125,156,2,2,4954048,2,3,6745682224,931,560,-31
590,3,20,125,187,2,2,1199952,2,3,8573888,865,560,-62
591,0,5,78,16,3,2,2192,2,3,110928,244,280,62
592,1,5,78,16,3,2,992,2,3,3280,220,280,62
593,3,5,63,15,3,2,1248,2,3,14592,203,280,48
594,4,5,63,31,3,2,880,2,3,9856,199,280,32
595,0,20,110,156,3,2,133920,2,3,1034752,1264,1120,-46
596,1,20,109,125,3,2,553120,2,3,40137504,1259,1120,-16
597,2,20,125,125,3,2,782240,2,3,5419985248,1256,1120,0
598,0,5,62,32,5,2,704,2,3,1536,193,1120,30
599,1,5,62,16,5,2,896,2,3,2400,219,1120,46
600,2,5,62,16,5,2,2784,2,3,10336,252,1120,46
601,3,5,62,16,5,2,1088,2,3,3488,223,1120,46
602,4,5,94,31,5,2,672,2,3,7528,184,1120,63
603,0,20,140,125,5,2,534464,2,3,8482752,2878,4480,15
604,1,20,109,62,5,2,1073088,2,3,20343104,3360,4480,47
605,2,20,126,94,5,2,892288,2,3,3440512,2790,4480,32
606,3,20,125,157,5,2,523136,2,3,3253344,2977,4480,-32
607,4,20,125,141,5,2,370432,2,3,1156736,2644,4480,-16
608,0,5,78,16,2,2,6912,3,3,3196800,556,630,62
609,1,5,63,16,2,2,12744,3,3,324108,926,630,47
610,2,5,63,16,2,2,3942,3,3,14364,398,630,47
611,3,5,63,31,2,2,5184,3,3,421686,742,630,32
612,4,5,62,32,2,2,5508,3,3,913464,460,630,30
613,4,20,8108,188,2,2,2393661024,3,3,472316754456,2302,2520,7920
614,0,5,63,31,3,2,10584,3,3,1125900,604,1890,32
615,1,5,63,16,3,2,7830,3,3,100563498,988,1890,47
616,2,5,62,32,3,2,12150,3,3,3898692,688,1890,30
617,3,5,78,15,3,2,6264,3,3,82620,478,1890,63
618,4,5,78,16,3,2,4698,3,3,83538,484,1890,62
619,1,20,328,156,3,2,71728254,3,3,43541271684,4610,7560,172
620,4,20,1063,125,3,2,309490632,3,3,471193259130,4280,7560,938
621,0,5,63,31,5,2,20304,3,3,2836998,1070,17010,32
622,1,5,78,32,5,2,33210,3,3,159354,1266,17010,46
623,2,5,62,31,5,2,6048,3,3,3604932,838,17010,31
624,3,5,63,32,5,2,7452,3,3,312660,1178,17010,31
625,4,5,63,31,5,2,3726,3,3,143478,460,17010,32
626,1,20,1687,203,5,2,404296110,3,3,13496601024,20270,68040,1484
627,2,20,610,140,5,2,122744646,3,3,5907955968,18162,68040,470
628,3,20,656,156,5,2,144439686,3,3,143577522,16564,68040,500
629,4,20,1500,109,5,2,229267584,3,3,1180670904,20480,68040,1391
630,0,5,78,47,2,2,241408,4,3,100930944,6486,1680,31
631,1,5,62,15,2,2,46720,4,3,109598848,2609,1680,47
632,2,5,78,31,2,2,28544,4,3,537011392,1149,1680,47
633,3,5,63,31,2,2,460032,4,3,7180661120,7501,1680,32
634,4,5,63,31,2,2,40192,4,3,469968896,1965,1680,32
635,1,20,437,203,2,2,111762560,4,3,17678152553856,3645,6720,234
636,0,5,79,32,3,2,92288,4,3,7516199296,2157,6720,47
637,1,5,62,16,3,2,31616,4,3,9442368,2149,6720,46
638,2,5,62,31,3,2,135168,4,3,335564288,6742,6720,31
639,4,5,62,16,3,2,51712,4,3,117450752,2118,6720,46
640,0,5,62,47,5,2,361472,4,3,1019254784,12869,107520,15
641,1,5,62,16,5,2,28672,4,3,138240,1169,107520,46
642,2,5,63,16,5,2,59904,4,3,402659072,3742,107520,47
643,3,5,63,16,5,2,78080,4,3,37755264,1933,107520,47
644,4,5,62,15,5,2,30208,4,3,101198080,2037,107520,47
645,0,5,78,16,2,3,3488,2,3,235912,319,200,62
646,1,5,63,47,2,3,5480,2,3,129528,413,200,16
647,2,5,63,31,2,3,1992,2,3,109032,335,200,32
648,3,5,78,32,2,3,2136,2,3,590424,381,200,46
649,4,5,63,47,2,3,4736,2,3,53704,677,200,16
650,2,20,250,500,2,3,41531088,2,3,347986529336,1350,800,-250
651,0,5,78,31,3,3,2168,2,3,305632,390,400,47
652,1,5,62,15,3,3,3888,2,3,1278464,484,400,47
653,2,5,63,32,3,3,3208,2,3,156032,366,400,31
654,3,5,78,32,3,3,13552,2,3,459808,1229,400,46
655,4,5,63,32,3,3,2784,2,3,28552,442,400,31
656,0,20,125,297,3,3,474112,2,3,119956192,1808,1600,-172
657,0,5,63,31,5,3,1816,2,3,25552,330,1600,32
658,1,5,78,16,5,3,2008,2,3,642488,351,1600,62
659,2,5,78,31,5,3,10136,2,3,331216,832,1600,47
660,3,5,78,31,5,3,2184,2,3,25464,345,1600,47
661,4,5,78,31,5,3,2464,2,3,591264,377,1600,47
662,0,20,125,219,5,3,749312,2,3,55375232,4231,6400,-94
663,3,20,125,141,5,3,2185216,2,3,576854400,4319,6400,-16
664,0,5,78,46,2,3,93798,3,3,9298983384,9196,900,32
665,1,5,62,31,2,3,173502,3,3,2715844302,2734,900,31
666,2,5,78,63,2,3,611874,3,3,860956074,19988,900,15
667,3,5,78,31,2,3,31104,3,3,345193255692,3184,900,47
668,4,5,62,32,2,3,22518,3,3,38326986,2006,900,30
669,0,5,62,46,3,3,349758,3,3,11622623256,11348,2700,16
670,1,5,63,31,3,3,140940,3,3,317273760,4084,2700,32
671,2,5,63,31,3,3,84564,3,3,3874391514,7018,2700,32
672,3,5,78,31,3,3,55242,3,3,455868,4860,2700,47
673,4,5,78,31,3,3,65286,3,3,431002242,3916,2700,47
674,0,20,1219,344,3,3,352969650,3,3,10648781939214,5522,10800,875
675,0,5,78,31,5,3,37908,3,3,149202,3790,24300,47
676,1,5,78,31,5,3,23004,3,3,927180,2410,24300,47
677,2,5,63,31,5,3,24138,3,3,1291522536,1204,24300,32
678,3,5,63,32,5,3,74844,3,3,157881906,5606,24300,31
679,4,5,78,32,5,3,74196,3,3,3922884,2690,24300,46
680,2,20,1124,297,5,3,213060456,3,3,37306868058,26906,97200,827
681,3,20,437,234,5,3,66184452,3,3,5753040552,24698,97200,203
682,0,5,79,47,2,3,206272,4,3,10745814976,9634,2400,32
683,1,5,94,312,2,3,1537600,4,3,2474169940992,147886,2400,-218
684,2,5,63,47,2,3,28752,4,3,485712,2479,2400,16
685,3,5,78,47,2,3,35216,4,3,438639136,2989,2400,31
686,4,5,94,109,2,3,1809344,4,3,23085598208,37438,2400,-15
687,0,5,472,46,3,3,116480,4,3,120338796672,4225,9600,426
688,1,5,78,31,3,3,293696,4,3,158376976064,7789,9600,47
689,2,5,79,171,3,3,983040,4,3,142807696384,71617,9600,-92
