,fold,NON,Hugin,SIIC,NOPar,NOO,NOS,NOC,HuginCost,SIICCost,complexity,difference
0,0,5,66,4,2,0,2,0,24,24,20,62
1,1,5,13,4,2,0,2,0,28,28,20,9
2,2,5,9,3,2,0,2,0,32,32,20,6
3,3,5,11,2,2,0,2,0,24,24,20,9
4,4,5,9,2,2,0,2,0,32,32,20,7
5,0,5,15,11,2,1,2,1,160,176,40,4
6,1,5,14,9,2,1,2,1,104,96,40,5
7,2,5,15,8,2,1,2,1,104,136,40,7
8,3,5,13,11,2,1,2,1,96,104,40,2
9,4,5,14,9,2,1,2,1,112,120,40,5
10,0,5,14,11,2,2,2,1,384,1680,60,3
11,1,5,13,12,2,2,2,1,152,616,60,1
12,2,5,14,10,2,2,2,1,176,200,60,4
13,3,5,14,10,2,2,2,1,200,384,60,4
14,4,5,14,11,2,2,2,1,160,192,60,3
15,0,5,21,14,2,3,2,1,296,432,80,7
16,1,5,20,20,2,3,2,1,224,1832,80,0
17,2,5,19,11,2,3,2,1,408,496,80,8
18,3,5,14,15,2,3,2,1,400,2816,80,-1
19,4,5,19,11,2,3,2,1,416,2432,80,8
20,0,5,23,18,2,1,2,2,272,1264,60,5
21,1,5,17,14,2,1,2,2,184,192,60,3
22,2,5,19,12,2,1,2,2,304,720,60,7
23,3,5,21,10,2,1,2,2,320,336,60,11
24,4,5,18,12,2,1,2,2,216,336,60,6
25,0,5,18,12,2,2,2,2,360,640,100,6
26,1,5,18,16,2,2,2,2,368,944,100,2
27,2,5,20,14,2,2,2,2,560,3456,100,6
28,3,5,18,13,2,2,2,2,608,1056,100,5
29,4,5,20,13,2,2,2,2,368,528,100,7
30,0,5,18,14,2,3,2,2,1552,19104,140,4
31,1,5,18,16,2,3,2,2,1008,12896,140,2
32,2,5,19,15,2,3,2,2,904,10984,140,4
33,4,5,17,22,2,3,2,2,744,2232,140,-5
34,0,5,23,13,2,1,2,3,368,1408,80,10
35,1,5,23,15,2,1,2,3,392,1256,80,8
36,2,5,22,14,2,1,2,3,312,512,80,8
37,3,5,22,17,2,1,2,3,376,8960,80,5
38,4,5,24,17,2,1,2,3,368,984,80,7
39,0,5,49,24,2,2,2,3,1856,131584,140,25
40,1,5,47,23,2,2,2,3,1632,57744,140,24
41,2,5,32,21,2,2,2,3,688,4488,140,11
42,3,5,27,17,2,2,2,3,1760,31232,140,10
43,4,5,22,12,2,2,2,3,1472,238000,140,10
44,0,5,23,16,2,3,2,3,3488,235912,200,7
45,1,5,22,18,2,3,2,3,5480,129528,200,4
46,2,5,22,18,2,3,2,3,1992,109032,200,4
47,3,5,23,19,2,3,2,3,2136,590424,200,4
48,4,5,22,20,2,3,2,3,4736,53704,200,2
49,0,5,8,2,3,0,2,0,32,32,40,6
50,1,5,9,2,3,0,2,0,32,32,40,7
51,2,5,7,2,3,0,2,0,20,20,40,5
52,3,5,7,3,3,0,2,0,32,32,40,4
53,4,5,10,2,3,0,2,0,24,24,40,8
54,0,5,14,7,3,1,2,1,112,288,80,7
55,1,5,14,5,3,1,2,1,112,104,80,9
56,2,5,13,7,3,1,2,1,152,200,80,6
57,3,5,15,8,3,1,2,1,176,272,80,7
58,4,5,13,8,3,1,2,1,120,144,80,5
59,0,5,14,8,3,2,2,1,140,164,120,6
60,1,5,13,9,3,2,2,1,208,272,120,4
61,2,5,14,10,3,2,2,1,400,400,120,4
62,3,5,15,8,3,2,2,1,144,184,120,7
63,4,5,13,9,3,2,2,1,232,320,120,4
64,0,5,14,8,3,3,2,1,528,976,160,6
65,1,5,14,12,3,3,2,1,552,1440,160,2
66,2,5,18,10,3,3,2,1,296,552,160,8
67,3,5,14,9,3,3,2,1,264,360,160,5
68,4,5,13,7,3,3,2,1,592,2112,160,6
69,0,5,19,13,3,1,2,2,200,672,120,6
70,1,5,19,13,3,1,2,2,224,344,120,6
71,2,5,18,10,3,1,2,2,216,408,120,8
72,3,5,20,11,3,1,2,2,288,416,120,9
73,4,5,18,12,3,1,2,2,208,464,120,6
74,0,5,19,15,3,2,2,2,656,5584,200,4
75,1,5,18,13,3,2,2,2,512,1024,200,5
76,2,5,18,12,3,2,2,2,720,1632,200,6
77,3,5,19,11,3,2,2,2,384,496,200,8
78,4,5,17,12,3,2,2,2,320,24832,200,5
79,1,5,21,14,3,3,2,2,1600,6272,280,7
80,2,5,19,11,3,3,2,2,5168,203280,280,8
81,3,5,18,12,3,3,2,2,2640,167520,280,6
82,4,5,18,14,3,3,2,2,1312,8040,280,4
83,0,5,22,14,3,1,2,3,312,520,160,8
84,1,5,23,11,3,1,2,3,424,1168,160,12
85,2,5,24,14,3,1,2,3,488,1272,160,10
86,3,5,22,14,3,1,2,3,384,768,160,8
87,4,5,23,17,3,1,2,3,440,1360,160,6
88,0,5,25,12,3,2,2,3,2192,110928,280,13
89,1,5,24,15,3,2,2,3,992,3280,280,9
90,3,5,24,16,3,2,2,3,1248,14592,280,8
91,4,5,25,17,3,2,2,3,880,9856,280,8
92,0,5,24,15,3,3,2,3,2168,305632,400,9
93,1,5,23,16,3,3,2,3,3888,1278464,400,7
94,2,5,23,18,3,3,2,3,3208,156032,400,5
95,3,5,23,16,3,3,2,3,13552,459808,400,7
96,4,5,24,24,3,3,2,3,2784,28552,400,0
97,0,5,10,2,5,0,2,0,32,32,160,8
98,1,5,6,2,5,0,2,0,24,24,160,4
99,2,5,8,2,5,0,2,0,16,16,160,6
100,3,5,8,2,5,0,2,0,20,20,160,6
101,4,5,7,2,5,0,2,0,28,28,160,5
102,0,5,13,8,5,1,2,1,192,176,320,5
103,1,5,12,9,5,1,2,1,144,160,320,3
104,2,5,14,8,5,1,2,1,128,168,320,6
105,3,5,13,9,5,1,2,1,176,192,320,4
106,4,5,13,5,5,1,2,1,112,304,320,8
107,0,5,14,9,5,2,2,1,184,720,480,5
108,1,5,13,8,5,2,2,1,336,448,480,5
109,2,5,13,8,5,2,2,1,208,240,480,5
110,3,5,14,5,5,2,2,1,144,152,480,9
111,4,5,17,7,5,2,2,1,168,488,480,10
112,0,5,14,9,5,3,2,1,624,4416,640,5
113,1,5,14,9,5,3,2,1,416,640,640,5
114,2,5,13,6,5,3,2,1,400,416,640,7
115,3,5,14,10,5,3,2,1,688,1056,640,4
116,4,5,13,6,5,3,2,1,528,592,640,7
117,0,5,17,10,5,1,2,2,200,216,480,7
118,1,5,19,11,5,1,2,2,216,440,480,8
119,2,5,17,11,5,1,2,2,224,280,480,6
120,3,5,18,7,5,1,2,2,168,168,480,11
121,4,5,18,10,5,1,2,2,240,352,480,8
122,0,5,17,9,5,2,2,2,704,2112,800,8
123,1,5,17,11,5,2,2,2,496,2336,800,6
124,2,5,22,12,5,2,2,2,624,2528,800,10
125,3,5,18,10,5,2,2,2,640,1728,800,8
126,4,5,19,8,5,2,2,2,384,432,800,11
127,0,5,19,17,5,3,2,2,1984,29568,1120,2
128,1,5,18,14,5,3,2,2,2624,664336,1120,4
129,2,5,18,10,5,3,2,2,2256,119488,1120,8
130,3,5,17,11,5,3,2,2,640,7440,1120,6
131,4,5,17,9,5,3,2,2,2304,27584,1120,8
132,0,5,22,10,5,1,2,3,696,2184,640,12
133,1,5,21,15,5,1,2,3,416,768,640,6
134,2,5,23,13,5,1,2,3,304,1088,640,10
135,3,5,26,13,5,1,2,3,280,416,640,13
136,4,5,23,10,5,1,2,3,320,2296,640,13
137,0,5,22,12,5,2,2,3,704,1536,1120,10
138,1,5,22,12,5,2,2,3,896,2400,1120,10
139,2,5,23,13,5,2,2,3,2784,10336,1120,10
140,3,5,22,15,5,2,2,3,1088,3488,1120,7
141,4,5,23,11,5,2,2,3,672,7528,1120,12
142,0,5,25,19,5,3,2,3,1816,25552,1600,6
143,1,5,25,15,5,3,2,3,2008,642488,1600,10
144,2,5,23,19,5,3,2,3,10136,331216,1600,4
145,3,5,23,18,5,3,2,3,2184,25464,1600,5
146,4,5,25,17,5,3,2,3,2464,591264,1600,8
147,0,5,9,2,2,0,3,0,108,108,90,7
148,1,5,9,2,2,0,3,0,108,108,90,7
149,2,5,10,2,2,0,3,0,90,90,90,8
150,3,5,9,2,2,0,3,0,90,90,90,7
151,4,5,6,2,2,0,3,0,108,108,90,4
152,0,5,15,8,2,1,3,1,324,378,180,7
153,1,5,14,6,2,1,3,1,486,540,180,8
154,2,5,13,9,2,1,3,1,648,810,180,4
155,3,5,14,8,2,1,3,1,324,918,180,6
156,4,5,16,9,2,1,3,1,360,360,180,7
157,0,5,14,8,2,2,3,1,3888,14580,270,6
158,1,5,13,9,2,2,3,1,594,702,270,4
159,2,5,14,8,2,2,3,1,3240,8100,270,6
160,3,5,14,9,2,2,3,1,2430,178848,270,5
161,4,5,14,6,2,2,3,1,702,756,270,8
162,0,5,13,6,2,3,3,1,756,1998,360,7
163,1,5,13,9,2,3,3,1,1242,4158,360,4
164,2,5,12,7,2,3,3,1,810,972,360,5
165,3,5,13,8,2,3,3,1,4860,4050,360,5
166,4,5,15,9,2,3,3,1,1944,29160,360,6
167,0,5,17,11,2,1,3,2,1188,9504,270,6
168,1,5,17,12,2,1,3,2,1296,7506,270,5
169,2,5,21,9,2,1,3,2,756,1566,270,12
170,3,5,16,9,2,1,3,2,1188,3240,270,7
171,4,5,16,12,2,1,3,2,1080,2754,270,4
172,0,5,18,10,2,2,3,2,4266,38826,450,8
173,1,5,18,10,2,2,3,2,3402,28998,450,8
174,2,5,17,13,2,2,3,2,2592,1064988,450,4
175,3,5,17,12,2,2,3,2,2214,13230,450,5
176,4,5,18,12,2,2,3,2,3672,119826,450,6
177,0,5,18,14,2,3,3,2,6318,1359504,630,4
178,1,5,18,14,2,3,3,2,9396,1282392,630,4
179,2,5,20,18,2,3,3,2,325620,-1539971806,630,2
180,3,5,19,14,2,3,3,2,19926,10099296,630,5
181,4,5,19,13,2,3,3,2,14256,10100214,630,6
182,0,5,23,18,2,1,3,3,6426,67878,360,5
183,1,5,22,13,2,1,3,3,1620,11880,360,9
184,2,5,22,16,2,1,3,3,1566,3942,360,6
185,3,5,24,15,2,1,3,3,1242,10044,360,9
186,4,5,23,18,2,1,3,3,1836,24030,360,5
187,0,5,22,11,2,2,3,3,6912,3196800,630,11
188,1,5,23,17,2,2,3,3,12744,324108,630,6
189,2,5,25,18,2,2,3,3,3942,14364,630,7
190,3,5,26,16,2,2,3,3,5184,421686,630,10
191,4,5,23,14,2,2,3,3,5508,913464,630,9
192,0,5,27,34,2,3,3,3,93798,709048792,900,-7
193,1,5,25,19,2,3,3,3,173502,-1579122994,900,6
194,2,5,28,53,2,3,3,3,611874,860956074,900,-25
195,3,5,22,18,2,3,3,3,31104,1595872012,900,4
196,4,5,23,20,2,3,3,3,22518,38326986,900,3
197,0,5,6,2,3,0,3,0,108,108,270,4
198,1,5,6,2,3,0,3,0,90,90,270,4
199,2,5,7,2,3,0,3,0,108,108,270,5
200,3,5,9,2,3,0,3,0,108,108,270,7
201,4,5,6,3,3,0,3,0,108,108,270,3
202,0,5,17,8,3,1,3,1,648,1188,540,9
203,1,5,13,8,3,1,3,1,810,810,540,5
204,2,5,13,5,3,1,3,1,594,810,540,8
205,3,5,13,7,3,1,3,1,810,1458,540,6
206,4,5,13,9,3,1,3,1,324,594,540,4
207,0,5,14,7,3,2,3,1,1296,1620,810,7
208,1,5,13,9,3,2,3,1,1296,1458,810,4
209,2,5,13,6,3,2,3,1,2106,9396,810,7
210,3,5,13,9,3,2,3,1,1080,1350,810,4
211,4,5,13,8,3,2,3,1,1242,2538,810,5
212,0,5,14,8,3,3,3,1,1134,4482,1080,6
213,1,5,14,6,3,3,3,1,2430,9558,1080,8
214,2,5,12,8,3,3,3,1,1566,5454,1080,4
215,3,5,13,6,3,3,3,1,1620,2268,1080,7
216,4,5,14,9,3,3,3,1,1242,1728,1080,5
217,0,5,22,12,3,1,3,2,1458,4698,810,10
218,1,5,19,12,3,1,3,2,540,1296,810,7
219,2,5,18,10,3,1,3,2,1404,2700,810,8
220,3,5,19,14,3,1,3,2,972,28350,810,5
221,4,5,23,14,3,1,3,2,2268,3402,810,9
222,0,5,21,8,3,2,3,2,3942,891324,1350,13
223,1,5,17,12,3,2,3,2,2106,9018,1350,5
224,2,5,20,8,3,2,3,2,14148,295326,1350,12
225,3,5,18,12,3,2,3,2,2646,53514,1350,6
226,4,5,18,11,3,2,3,2,7776,257094,1350,7
227,0,5,18,16,3,3,3,2,5508,35964,1890,2
228,1,5,20,13,3,3,3,2,6642,123714,1890,7
229,2,5,20,11,3,3,3,2,12150,11164716,1890,9
230,3,5,18,14,3,3,3,2,11340,12759930,1890,4
231,4,5,18,12,3,3,3,2,5022,140886,1890,6
232,0,5,22,11,3,1,3,3,1890,9072,1080,11
233,1,5,24,11,3,1,3,3,1674,14580,1080,13
234,2,5,23,10,3,1,3,3,2214,100116,1080,13
235,3,5,23,17,3,1,3,3,2646,80406,1080,6
236,4,5,24,11,3,1,3,3,2754,7074,1080,13
237,0,5,25,14,3,2,3,3,10584,1125900,1890,11
238,1,5,22,10,3,2,3,3,7830,100563498,1890,12
239,2,5,21,16,3,2,3,3,12150,3898692,1890,5
240,3,5,26,13,3,2,3,3,6264,82620,1890,13
241,4,5,24,14,3,2,3,3,4698,83538,1890,10
242,0,5,25,32,3,3,3,3,349758,-1262278632,2700,-7
243,1,5,22,16,3,3,3,3,140940,317273760,2700,6
244,2,5,22,28,3,3,3,3,84564,-420575782,2700,-6
245,3,5,22,19,3,3,3,3,55242,455868,2700,3
246,4,5,22,21,3,3,3,3,65286,431002242,2700,1
247,0,5,9,2,5,0,3,0,90,90,2430,7
248,1,5,6,3,5,0,3,0,108,108,2430,3
249,2,5,6,2,5,0,3,0,90,90,2430,4
250,3,5,9,2,5,0,3,0,108,108,2430,7
251,4,5,8,2,5,0,3,0,54,54,2430,6
252,0,5,13,8,5,1,3,1,972,7290,4860,5
253,1,5,16,9,5,1,3,1,360,954,4860,7
254,2,5,13,5,5,1,3,1,648,972,4860,8
255,3,5,13,6,5,1,3,1,972,1242,4860,7
256,4,5,13,6,5,1,3,1,378,378,4860,7
257,0,5,14,6,5,2,3,1,1296,2106,7290,8
258,1,5,12,8,5,2,3,1,1782,75168,7290,4
259,2,5,15,9,5,2,3,1,5832,79218,7290,6
260,3,5,12,5,5,2,3,1,1080,2106,7290,7
261,4,5,12,6,5,2,3,1,1944,2430,7290,6
262,0,5,13,10,5,3,3,1,2106,20412,9720,3
263,1,5,14,8,5,3,3,1,4860,5184,9720,6
264,2,5,14,5,5,3,3,1,1458,4536,9720,9
265,3,5,12,11,5,3,3,1,4374,835434,9720,1
266,4,5,14,7,5,3,3,1,1296,1296,9720,7
267,0,5,18,9,5,1,3,2,972,1458,7290,9
268,1,5,19,11,5,1,3,2,1998,9018,7290,8
269,2,5,19,13,5,1,3,2,2052,8100,7290,6
270,3,5,18,12,5,1,3,2,702,7290,7290,6
271,4,5,18,10,5,1,3,2,1350,2376,7290,8
272,0,5,17,10,5,2,3,2,4644,33804,12150,7
273,1,5,16,10,5,2,3,2,2376,20844,12150,6
274,2,5,17,12,5,2,3,2,4644,120690,12150,5
275,3,5,17,7,5,2,3,2,3294,6804,12150,10
276,4,5,19,10,5,2,3,2,2646,9666,12150,9
