,fold,NON,Hugin,SIIC,NOPar,NOO,NOS,NOC,HuginCost,SIICCost,complexity,difference
277,0,5,18,12,5,3,3,2,18630,427032,17010,6
278,2,5,18,9,5,3,3,2,6156,160218,17010,9
279,3,5,18,12,5,3,3,2,2754,43902,17010,6
280,4,5,19,15,5,3,3,2,37422,1424628,17010,4
281,0,5,23,14,5,1,3,3,2160,6804,9720,9
282,1,5,22,10,5,1,3,3,1242,1998,9720,12
283,2,5,23,13,5,1,3,3,2754,11826,9720,10
284,3,5,24,11,5,1,3,3,3186,11178,9720,13
285,4,5,21,11,5,1,3,3,1512,3672,9720,10
286,0,5,22,13,5,2,3,3,20304,2836998,17010,9
287,1,5,23,15,5,2,3,3,33210,159354,17010,8
288,2,5,25,14,5,2,3,3,6048,3604932,17010,11
289,3,5,26,15,5,2,3,3,7452,312660,17010,11
290,4,5,24,12,5,2,3,3,3726,143478,17010,12
291,0,5,27,16,5,3,3,3,37908,149202,24300,11
292,1,5,22,16,5,3,3,3,23004,927180,24300,6
293,2,5,34,18,5,3,3,3,24138,1291522536,24300,16
294,3,5,23,22,5,3,3,3,74844,157881906,24300,1
295,4,5,23,15,5,3,3,3,74196,3922884,24300,8
296,0,5,8,1,2,0,4,0,96,96,240,7
297,1,5,8,2,2,0,4,0,208,208,240,6
298,2,5,8,2,2,0,4,0,112,112,240,6
299,3,5,8,2,2,0,4,0,256,256,240,6
300,4,5,9,2,2,0,4,0,208,208,240,7
301,0,5,14,6,2,1,4,1,2176,2432,480,8
302,1,5,12,7,2,1,4,1,2048,3328,480,5
303,2,5,13,8,2,1,4,1,896,16704,480,5
304,3,5,15,6,2,1,4,1,768,1664,480,9
305,4,5,13,7,2,1,4,1,1088,6464,480,6
306,0,5,13,8,2,2,4,1,10432,21056,720,5
307,1,5,12,8,2,2,4,1,1280,2432,720,4
308,2,5,14,6,2,2,4,1,3584,13568,720,8
309,3,5,12,5,2,2,4,1,2112,3776,720,7
310,4,5,13,9,2,2,4,1,1984,2688,720,4
311,0,5,12,5,2,3,4,1,2048,8128,960,7
312,1,5,13,11,2,3,4,1,15040,18877120,960,2
313,2,5,13,6,2,3,4,1,9408,1314112,960,7
314,3,5,13,9,2,3,4,1,27904,102400,960,4
315,4,5,13,6,2,3,4,1,5632,33024,960,7
316,0,5,17,9,2,1,4,2,3968,17280,720,8
317,1,5,16,11,2,1,4,2,3520,6272,720,5
318,2,5,19,10,2,1,4,2,5248,16000,720,9
319,3,5,17,12,2,1,4,2,4032,24640,720,5
320,4,5,17,10,2,1,4,2,928,2144,720,7
321,0,5,17,9,2,2,4,2,11008,343808,1200,8
322,1,5,17,12,2,2,4,2,3392,9728,1200,5
323,2,5,20,12,2,2,4,2,16768,990848,1200,8
324,3,5,19,13,2,2,4,2,14208,5410560,1200,6
325,4,5,17,9,2,2,4,2,3904,9344,1200,8
326,0,5,18,16,2,3,4,2,25152,536882176,1680,2
327,1,5,20,15,2,3,4,2,63680,117971008,1680,5
328,2,5,17,14,2,3,4,2,30400,357952,1680,3
329,3,5,18,12,2,3,4,2,46976,10494016,1680,6
330,4,5,18,19,2,3,4,2,74880,23865152,1680,-1
331,0,5,22,12,2,1,4,3,6784,272512,960,10
332,1,5,23,12,2,1,4,3,4352,69376,960,11
333,2,5,24,17,2,1,4,3,31680,1060672,960,7
334,3,5,23,12,2,1,4,3,13696,73280,960,11
335,4,5,22,11,2,1,4,3,7232,462976,960,11
336,0,5,22,21,2,2,4,3,241408,100930944,1680,1
337,1,5,21,17,2,2,4,3,46720,109598848,1680,4
338,2,5,21,19,2,2,4,3,28544,537011392,1680,2
339,3,5,29,28,2,2,4,3,460032,-1409273472,1680,1
340,4,5,22,12,2,2,4,3,40192,469968896,1680,10
341,0,5,35,37,2,3,4,3,206272,-2139086912,2400,-2
342,0,20,96,10,2,0,2,0,888,888,80,86
343,1,20,13,8,2,0,2,0,572,572,80,5
344,2,20,9,7,2,0,2,0,696,696,80,2
345,3,20,11,6,2,0,2,0,816,816,80,5
346,4,20,8,4,2,0,2,0,804,804,80,4
347,3,20,14,17,2,1,2,1,11584,98392,160,-3
348,4,20,15,21,2,1,2,1,25648,170960,160,-6
349,0,20,19,36,2,2,2,1,53656,102072,240,-17
350,1,20,25,27,2,2,2,1,17392,39464,240,-2
351,2,20,21,39,2,2,2,1,16928,163360,240,-18
352,4,20,20,42,2,2,2,1,31232,108368,240,-22
353,1,20,23,39,2,3,2,1,25208,120784,320,-16
354,4,20,17,22,2,3,2,1,111656,9781304,320,-5
355,0,20,23,19,2,1,2,2,10288,27368,240,4
356,1,20,28,61,2,2,2,2,277024,15824384,400,-33
357,3,20,24,67,2,2,2,2,397568,289632,400,-43
358,1,20,23,113,2,3,2,2,314376,175452416,560,-90
359,3,20,32,111,2,3,2,2,974984,1624233928,560,-79
360,2,20,31,76,2,1,2,3,28328,115504,320,-45
361,3,20,33,43,2,1,2,3,185720,17259288,320,-10
362,4,20,26,42,2,1,2,3,326424,444808,320,-16
363,0,20,52,142,2,2,2,3,4954048,-1844252368,560,-90
364,3,20,41,178,2,2,2,3,1199952,8573888,560,-137
365,2,20,182,458,2,3,2,3,41531088,94178360,800,-276
366,0,20,12,7,3,0,2,0,4512,4512,160,5
367,1,20,9,3,3,0,2,0,3712,3712,160,6
368,2,20,11,3,3,0,2,0,2016,2016,160,8
369,3,20,11,3,3,0,2,0,4096,4096,160,8
370,4,20,7,6,3,0,2,0,5168,5168,160,1
371,0,20,15,13,3,1,2,1,11608,29752,320,2
372,1,20,16,8,3,1,2,1,18784,37824,320,8
373,2,20,15,12,3,1,2,1,15424,90528,320,3
374,3,20,17,12,3,1,2,1,9776,14128,320,5
375,0,20,17,20,3,2,2,1,15328,35696,480,-3
376,1,20,18,14,3,2,2,1,123488,862976,480,4
377,2,20,18,15,3,2,2,1,74144,153664,480,3
378,3,20,19,17,3,2,2,1,40880,143664,480,2
379,2,20,18,17,3,3,2,1,90912,390224,640,1
380,0,20,22,17,3,1,2,2,53952,138144,480,5
381,2,20,19,20,3,1,2,2,50320,342480,480,-1
382,4,20,18,17,3,1,2,2,74576,222576,480,1
383,3,20,23,31,3,2,2,2,496000,17324416,800,-8
384,2,20,30,81,3,3,2,2,749632,47472768,1120,-51
385,0,20,28,28,3,1,2,3,81704,851312,640,0
386,0,20,29,90,3,2,2,3,133920,1034752,1120,-61
387,1,20,30,80,3,2,2,3,553120,40137504,1120,-50
388,2,20,32,71,3,2,2,3,782240,1125017952,1120,-39
389,0,20,30,215,3,3,2,3,474112,119956192,1600,-185
390,0,20,7,4,5,0,2,0,24464,24464,640,3
391,1,20,14,6,5,0,2,0,19856,19856,640,8
392,2,20,11,6,5,0,2,0,22752,22752,640,5
393,3,20,10,4,5,0,2,0,10496,10496,640,6
394,4,20,9,6,5,0,2,0,63104,63104,640,3
395,0,20,11,11,5,1,2,1,45248,68416,1280,0
396,2,20,20,13,5,1,2,1,68576,94944,1280,7
397,4,20,19,11,5,1,2,1,102016,140928,1280,8
398,1,20,17,12,5,2,2,1,109952,403136,1920,5
399,2,20,17,12,5,2,2,1,194368,481088,1920,5
400,3,20,15,13,5,2,2,1,62528,134976,1920,2
401,0,20,16,15,5,3,2,1,240384,442688,2560,1
402,1,20,18,14,5,3,2,1,249024,501184,2560,4
403,2,20,20,13,5,3,2,1,344128,4056960,2560,7
404,4,20,11,17,5,3,2,1,208064,458176,2560,-6
405,0,20,25,16,5,1,2,2,241920,1985408,1920,9
406,3,20,21,14,5,1,2,2,171008,475904,1920,7
407,0,20,24,22,5,2,2,2,262080,685760,3200,2
408,1,20,27,20,5,2,2,2,598720,3411648,3200,7
409,2,20,21,24,5,2,2,2,349632,2039744,3200,-3
410,4,20,25,23,5,2,2,2,1336768,4417408,3200,2
411,0,20,30,38,5,3,2,2,969536,18091008,4480,-8
412,1,20,26,40,5,3,2,2,283712,530176,4480,-14
413,3,20,25,45,5,3,2,2,440000,966592,4480,-20
414,0,20,31,21,5,1,2,3,289280,1749888,2560,10
415,1,20,29,19,5,1,2,3,206976,582656,2560,10
416,3,20,28,28,5,1,2,3,314240,1244800,2560,0
417,0,20,33,45,5,2,2,3,534464,8482752,4480,-12
418,1,20,34,34,5,2,2,3,1073088,20343104,4480,0
419,2,20,37,45,5,2,2,3,892288,3440512,4480,-8
420,3,20,31,45,5,2,2,3,523136,3253344,4480,-14
421,4,20,29,56,5,2,2,3,370432,1156736,4480,-27
422,0,20,35,124,5,3,2,3,749312,55375232,6400,-89
423,3,20,37,103,5,3,2,3,2185216,576854400,6400,-66
424,0,20,8,6,2,0,3,0,3402,3402,360,2
425,1,20,9,5,2,0,3,0,12474,12474,360,4
426,2,20,9,5,2,0,3,0,5778,5778,360,4
427,3,20,9,5,2,0,3,0,7074,7074,360,4
428,4,20,11,5,2,0,3,0,4320,4320,360,6
429,0,20,19,11,2,1,3,1,1404108,6099030,720,8
430,1,20,13,9,2,1,3,1,29484,28674,720,4
431,2,20,13,11,2,1,3,1,95472,176634,720,2
432,3,20,15,9,2,1,3,1,69498,380970,720,6
433,2,20,35,15,2,2,3,1,4246614,179823024,1080,20
434,4,20,22,15,2,2,3,1,1298484,180300384,1080,7
435,1,20,1534,19,2,3,3,1,456463188,-1448358196,1440,1515
436,2,20,66,24,2,3,3,1,8540586,20920464,1440,42
437,3,20,506,21,2,3,3,1,149648634,540572324,1440,485
438,0,20,22,20,2,1,3,2,259416,3826008,1080,2
439,0,20,1139,43,2,2,3,2,275671998,941225184,1800,1096
440,3,20,46,59,2,2,3,2,5546340,533551158,1800,-13
441,3,20,344,95,2,3,3,2,87450030,1432423218,2520,249
442,0,20,146,41,2,1,3,3,2987658,23569596,1440,105
443,1,20,43,41,2,1,3,3,1873638,291134682,1440,2
444,4,20,59,37,2,1,3,3,6225444,66366324,1440,22
445,4,20,10928,159,2,2,3,3,2393661024,-129648104,2520,10769
446,0,20,21,5,3,0,3,0,33426,33426,1080,16
447,1,20,10,7,3,0,3,0,50544,50544,1080,3
448,2,20,9,5,3,0,3,0,40932,40932,1080,4
449,3,20,8,5,3,0,3,0,55674,55674,1080,3
450,4,20,11,5,3,0,3,0,34272,34272,1080,6
451,0,20,24,13,3,1,3,1,726354,2924370,2160,11
452,1,20,19,14,3,1,3,1,727866,1213380,2160,5
453,3,20,21,12,3,1,3,1,1102248,16689726,2160,9
454,0,20,38,16,3,2,3,1,3307230,17544600,3240,22
455,3,20,24,15,3,2,3,1,1970568,75370662,3240,9
456,4,20,34,15,3,2,3,1,3350970,64114578,3240,19
457,3,20,23,28,3,3,3,1,572670,1024812,4320,-5
458,4,20,26,21,3,3,3,1,1188756,3452058,4320,5
459,1,20,35,15,3,1,3,2,2339604,8147790,3240,20
460,2,20,47,29,3,1,3,2,4636278,9837612,3240,18
461,3,20,33,20,3,1,3,2,2897046,17261748,3240,13
462,1,20,163,36,3,2,3,2,32804352,107622594,5400,127
463,2,20,62,56,3,2,3,2,7156998,52665714,5400,6
464,3,20,332,42,3,2,3,2,69077448,-874002964,5400,290
465,2,20,105,118,3,3,3,2,21476988,83748168,7560,-13
466,4,20,317,68,3,3,3,2,69672960,2266534114,7560,249
467,1,20,90,28,3,1,3,3,6978312,63513234,4320,62
468,2,20,88,37,3,1,3,3,12673098,333498708,4320,51
469,1,20,309,88,3,2,3,3,71728254,591598724,7560,221
470,0,20,21,20,5,0,3,0,1713636,1713636,9720,1
471,1,20,14,15,5,0,3,0,992412,992412,9720,-1
472,2,20,23,20,5,0,3,0,2178252,2178252,9720,3
473,3,20,44,40,5,0,3,0,5929686,5929686,9720,4
474,4,20,28,27,5,0,3,0,3013686,3013686,9720,1
475,0,20,60,38,5,1,3,1,6343758,30230172,19440,22
476,2,20,114,36,5,1,3,1,15478128,17064432,19440,78
477,3,20,92,38,5,1,3,1,13553082,58898340,19440,54
478,0,20,92,30,5,2,3,1,10056798,12348774,29160,62
479,0,50,89,32,2,0,2,0,21296,21296,200,57
480,1,50,14,23,2,0,2,0,40340,40340,200,-9
481,2,50,20,18,2,0,2,0,36344,36344,200,2
482,3,50,15,14,2,0,2,0,156120,108248,200,1
483,4,50,14,17,2,0,2,0,109100,109100,200,-3
484,0,50,714,60,2,1,2,1,160307400,87355896,400,654
485,1,50,43,70,2,1,2,1,5108816,24585360,400,-27
486,0,50,109,190,2,2,2,1,17020784,162366464,600,-81
487,2,50,6067,186,2,1,2,2,1318162352,949363776,600,5881
488,0,50,63,67,3,0,2,0,11855136,11855136,400,-4
489,1,50,24,22,3,0,2,0,2032892,2032892,400,2
490,2,50,78,83,3,0,2,0,12577520,11600624,400,-5
491,3,50,31,30,3,0,2,0,3868872,3868872,400,1
492,4,50,34,39,3,0,2,0,3446416,4954128,400,-5
493,0,50,1084,49,3,1,2,1,215493888,296937344,800,1035
494,0,50,453,145,3,2,2,1,63857776,560028560,1200,308
495,2,50,437,126,3,2,2,1,81345136,381893616,1200,311
496,2,50,1113,1175,5,0,2,0,161553856,161553856,1600,-62
497,3,50,2067,2107,5,0,2,0,247039808,247039808,1600,-40
498,0,50,40,40,2,0,3,0,5349672,5349672,900,0
499,1,50,110,112,2,0,3,0,24577614,24577614,900,-2
500,2,50,54,48,2,0,3,0,6365574,6006906,900,6
501,3,50,22,19,2,0,3,0,1806012,1806012,900,3
502,4,50,27,41,2,0,3,0,3005802,6911298,900,-14
503,0,50,151,146,2,0,4,0,32332944,32332944,2400,5
504,2,50,493,475,2,0,4,0,127674640,127674640,2400,18
505,3,50,248,225,2,0,4,0,44786688,44792832,2400,23
506,4,50,71,74,2,0,4,0,13561168,14519632,2400,-3
507,0,50,179,168,2,0,4,0,32332944,32332944,2400,11
508,1,50,7280,6578,2,0,4,0,1229919232,1292830720,2400,702
509,2,50,529,509,2,0,4,0,127674640,127674640,2400,20
510,3,50,611,427,2,0,4,0,44786688,44792832,2400,184
511,4,50,75,77,2,0,4,0,13561168,14519632,2400,-2
