,,,,,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 1,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 2,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 3,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 4,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Fold = 5,Avg_Hugin,Avg_SIIC,Avg_HuginCost,Avg_SIICCost,Avg_complexity,Avg_difference
2,5,50,0,0,,,,,,,,,,,,,,,2.0,1113.0,1175.0,161553856.0,161553856.0,1600.0,-62.0,3.0,2067.0,2107.0,247039808.0,247039808.0,1600.0,-40.0,,,,,,,,674.5798692519663,659.0235200658623,60447696.3553877,60447696.3553877,0.0,15.556349186104045
3,2,5,0,0,0.0,9.0,2.0,108.0,108.0,90.0,7.0,1.0,9.0,2.0,108.0,108.0,90.0,7.0,2.0,10.0,2.0,90.0,90.0,90.0,8.0,3.0,9.0,2.0,90.0,90.0,90.0,7.0,4.0,6.0,2.0,108.0,108.0,90.0,4.0,1.51657508881031,0.0,9.85900603509299,9.85900603509299,0.0,1.51657508881031
3,2,5,1,1,0.0,15.0,8.0,324.0,378.0,180.0,7.0,1.0,14.0,6.0,486.0,540.0,180.0,8.0,2.0,13.0,9.0,648.0,810.0,180.0,4.0,3.0,14.0,8.0,324.0,918.0,180.0,6.0,4.0,16.0,9.0,360.0,360.0,180.0,7.0,1.1401754250991378,1.224744871391589,139.65958613714992,252.83433311162472,0.0,1.51657508881031
3,2,5,1,2,0.0,14.0,8.0,3888.0,14580.0,270.0,6.0,1.0,13.0,9.0,594.0,702.0,270.0,4.0,2.0,14.0,8.0,3240.0,8100.0,270.0,6.0,3.0,14.0,9.0,2430.0,178848.0,270.0,5.0,4.0,14.0,6.0,702.0,756.0,270.0,8.0,0.4472135954999579,1.224744871391589,1483.4774012434434,77500.31387807406,0.0,1.4832396974191326
3,2,5,1,3,0.0,13.0,6.0,756.0,1998.0,360.0,7.0,1.0,13.0,9.0,1242.0,4158.0,360.0,4.0,2.0,12.0,7.0,810.0,972.0,360.0,5.0,3.0,13.0,8.0,4860.0,4050.0,360.0,5.0,4.0,15.0,9.0,1944.0,29160.0,360.0,6.0,1.0954451150103321,1.3038404810405297,1709.5925830442761,11869.109098832987,0.0,1.1401754250991378
3,2,5,2,1,0.0,17.0,11.0,1188.0,9504.0,270.0,6.0,1.0,17.0,12.0,1296.0,7506.0,270.0,5.0,2.0,21.0,9.0,756.0,1566.0,270.0,12.0,3.0,16.0,9.0,1188.0,3240.0,270.0,7.0,4.0,16.0,12.0,1080.0,2754.0,270.0,4.0,2.073644135332772,1.51657508881031,207.74214786605054,3408.208620375226,0.0,3.1144823004794873
3,2,5,2,2,0.0,18.0,10.0,4266.0,38826.0,450.0,8.0,1.0,18.0,10.0,3402.0,28998.0,450.0,8.0,2.0,17.0,13.0,2592.0,1064988.0,450.0,4.0,3.0,17.0,12.0,2214.0,13230.0,450.0,5.0,4.0,18.0,12.0,3672.0,119826.0,450.0,6.0,0.5477225575051661,1.3416407864998738,827.2757702241738,455685.39775682957,0.0,1.788854381999832
3,2,5,2,3,0.0,18.0,14.0,6318.0,1359504.0,630.0,4.0,1.0,18.0,14.0,9396.0,1282392.0,630.0,4.0,2.0,20.0,18.0,325620.0,-1539971806.0,630.0,2.0,3.0,19.0,14.0,19926.0,10099296.0,630.0,5.0,4.0,19.0,13.0,14256.0,10100214.0,630.0,6.0,0.8366600265340756,1.9493588689617927,140137.80012972944,691264011.7995763,0.0,1.4832396974191326
3,2,5,3,1,0.0,23.0,18.0,6426.0,67878.0,360.0,5.0,1.0,22.0,13.0,1620.0,11880.0,360.0,9.0,2.0,22.0,16.0,1566.0,3942.0,360.0,6.0,3.0,24.0,15.0,1242.0,10044.0,360.0,9.0,4.0,23.0,18.0,1836.0,24030.0,360.0,5.0,0.8366600265340756,2.1213203435596424,2183.831037420249,25827.68121996243,0.0,2.0493901531919194
3,2,5,3,2,0.0,22.0,11.0,6912.0,3196800.0,630.0,11.0,1.0,23.0,17.0,12744.0,324108.0,630.0,6.0,2.0,25.0,18.0,3942.0,14364.0,630.0,7.0,3.0,26.0,16.0,5184.0,421686.0,630.0,10.0,4.0,23.0,14.0,5508.0,913464.0,630.0,9.0,1.6431676725154984,2.7748873851023212,3456.0,1283823.9784366079,0.0,2.073644135332772
3,2,5,3,3,0.0,27.0,34.0,93798.0,709048792.0,900.0,-7.0,1.0,25.0,19.0,173502.0,-1579122994.0,900.0,6.0,2.0,28.0,53.0,611874.0,860956074.0,900.0,-25.0,3.0,22.0,18.0,31104.0,1595872012.0,900.0,4.0,4.0,23.0,20.0,22518.0,38326986.0,900.0,3.0,2.5495097567963922,15.023315213360865,245328.17016233582,1199762877.6873431,0.0,12.87245120402482
3,2,20,0,0,0.0,8.0,6.0,3402.0,3402.0,360.0,2.0,1.0,9.0,5.0,12474.0,12474.0,360.0,4.0,2.0,9.0,5.0,5778.0,5778.0,360.0,4.0,3.0,9.0,5.0,7074.0,7074.0,360.0,4.0,4.0,11.0,5.0,4320.0,4320.0,360.0,6.0,1.0954451150103324,0.44721359549995787,3564.7362875814533,3564.7362875814533,0.0,1.4142135623730951
3,2,20,1,1,0.0,19.0,11.0,1404108.0,6099030.0,720.0,8.0,1.0,13.0,9.0,29484.0,28674.0,720.0,4.0,2.0,13.0,11.0,95472.0,176634.0,720.0,2.0,3.0,15.0,9.0,69498.0,380970.0,720.0,6.0,,,,,,,,2.8284271247461903,1.1547005383792515,670194.832305502,2955333.6577740256,0.0,2.581988897471611
3,2,20,1,2,,,,,,,,,,,,,,,2.0,35.0,15.0,4246614.0,179823024.0,1080.0,20.0,,,,,,,,4.0,22.0,15.0,1298484.0,180300384.0,1080.0,7.0,9.192388155425117,0.0,2084642.7148194963,337544.4930672103,0.0,9.192388155425117
3,2,20,1,3,,,,,,,,1.0,1534.0,19.0,456463188.0,-1448358196.0,1440.0,1515.0,2.0,66.0,24.0,8540586.0,20920464.0,1440.0,42.0,3.0,506.0,21.0,149648634.0,540572324.0,1440.0,485.0,,,,,,,,753.3710904992307,2.5166114784235836,229012848.67121887,1031557273.3914104,0.0,755.7422400086774
3,2,20,2,1,0.0,22.0,20.0,259416.0,3826008.0,1080.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,20,2,2,0.0,1139.0,43.0,275671998.0,941225184.0,1800.0,1096.0,,,,,,,,,,,,,,,3.0,46.0,59.0,5546340.0,533551158.0,1800.0,-13.0,,,,,,,,772.8677118368964,11.313708498984761,191007684.54427817,288269068.2982209,0.0,784.1814203358812
3,2,20,2,3,,,,,,,,,,,,,,,,,,,,,,3.0,344.0,95.0,87450030.0,1432423218.0,2520.0,249.0,,,,,,,,,,,,,
3,2,20,3,1,0.0,146.0,41.0,2987658.0,23569596.0,1440.0,105.0,1.0,43.0,41.0,1873638.0,291134682.0,1440.0,2.0,,,,,,,,,,,,,,,4.0,59.0,37.0,6225444.0,66366324.0,1440.0,22.0,55.428632793289545,2.309401076758503,2260623.594049217,143726273.36463198,0.0,54.616847217685496
3,2,20,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,10928.0,159.0,2393661024.0,-129648104.0,2520.0,10769.0,,,,,,
3,2,50,0,0,0.0,40.0,40.0,5349672.0,5349672.0,900.0,0.0,1.0,110.0,112.0,24577614.0,24577614.0,900.0,-2.0,2.0,54.0,48.0,6365574.0,6006906.0,900.0,6.0,3.0,22.0,19.0,1806012.0,1806012.0,900.0,3.0,4.0,27.0,41.0,3005802.0,6911298.0,900.0,-14.0,35.45137514963277,35.249113464029136,9321699.320243986,8958758.470781026,0.0,7.6681158050723255
3,3,5,0,0,0.0,6.0,2.0,108.0,108.0,270.0,4.0,1.0,6.0,2.0,90.0,90.0,270.0,4.0,2.0,7.0,2.0,108.0,108.0,270.0,5.0,3.0,9.0,2.0,108.0,108.0,270.0,7.0,4.0,6.0,3.0,108.0,108.0,270.0,3.0,1.3038404810405297,0.4472135954999579,8.049844718999243,8.049844718999243,0.0,1.51657508881031
3,3,5,1,1,0.0,17.0,8.0,648.0,1188.0,540.0,9.0,1.0,13.0,8.0,810.0,810.0,540.0,5.0,2.0,13.0,5.0,594.0,810.0,540.0,8.0,3.0,13.0,7.0,810.0,1458.0,540.0,6.0,4.0,13.0,9.0,324.0,594.0,540.0,4.0,1.7888543819998315,1.51657508881031,199.87295965187488,345.7687088213738,0.0,2.073644135332772
3,3,5,1,2,0.0,14.0,7.0,1296.0,1620.0,810.0,7.0,1.0,13.0,9.0,1296.0,1458.0,810.0,4.0,2.0,13.0,6.0,2106.0,9396.0,810.0,7.0,3.0,13.0,9.0,1080.0,1350.0,810.0,4.0,4.0,13.0,8.0,1242.0,2538.0,810.0,5.0,0.4472135954999579,1.3038404810405297,402.2909394952862,3455.282738069346,0.0,1.51657508881031
3,3,5,1,3,0.0,14.0,8.0,1134.0,4482.0,1080.0,6.0,1.0,14.0,6.0,2430.0,9558.0,1080.0,8.0,2.0,12.0,8.0,1566.0,5454.0,1080.0,4.0,3.0,13.0,6.0,1620.0,2268.0,1080.0,7.0,4.0,14.0,9.0,1242.0,1728.0,1080.0,5.0,0.8944271909999159,1.3416407864998738,508.862260341637,3121.0411724294827,0.0,1.5811388300841898
3,3,5,2,1,0.0,22.0,12.0,1458.0,4698.0,810.0,10.0,1.0,19.0,12.0,540.0,1296.0,810.0,7.0,2.0,18.0,10.0,1404.0,2700.0,810.0,8.0,3.0,19.0,14.0,972.0,28350.0,810.0,5.0,4.0,23.0,14.0,2268.0,3402.0,810.0,9.0,2.16794833886788,1.6733200530681511,643.0309479333013,11392.553936672848,0.0,1.9235384061671346
3,3,5,2,2,0.0,21.0,8.0,3942.0,891324.0,1350.0,13.0,1.0,17.0,12.0,2106.0,9018.0,1350.0,5.0,2.0,20.0,8.0,14148.0,295326.0,1350.0,12.0,3.0,18.0,12.0,2646.0,53514.0,1350.0,6.0,4.0,18.0,11.0,7776.0,257094.0,1350.0,7.0,1.6431676725154982,2.04939015319192,5002.889445110695,352471.5729575933,0.0,3.646916505762094
3,3,5,2,3,0.0,18.0,16.0,5508.0,35964.0,1890.0,2.0,1.0,20.0,13.0,6642.0,123714.0,1890.0,7.0,2.0,20.0,11.0,12150.0,11164716.0,1890.0,9.0,3.0,18.0,14.0,11340.0,12759930.0,1890.0,4.0,4.0,18.0,12.0,5022.0,140886.0,1890.0,6.0,1.0954451150103324,1.9235384061671346,3362.0367041422974,6521713.43445923,0.0,2.701851217221259
3,3,5,3,1,0.0,22.0,11.0,1890.0,9072.0,1080.0,11.0,1.0,24.0,11.0,1674.0,14580.0,1080.0,13.0,2.0,23.0,10.0,2214.0,100116.0,1080.0,13.0,3.0,23.0,17.0,2646.0,80406.0,1080.0,6.0,4.0,24.0,11.0,2754.0,7074.0,1080.0,13.0,0.8366600265340756,2.8284271247461903,467.0297635054965,44463.78821917898,0.0,3.03315017762062
3,3,5,3,2,0.0,25.0,14.0,10584.0,1125900.0,1890.0,11.0,1.0,22.0,10.0,7830.0,100563498.0,1890.0,12.0,2.0,21.0,16.0,12150.0,3898692.0,1890.0,5.0,3.0,26.0,13.0,6264.0,82620.0,1890.0,13.0,4.0,24.0,14.0,4698.0,83538.0,1890.0,10.0,2.0736441353327724,2.1908902300206643,3056.9437678832105,44420451.90779134,0.0,3.1144823004794873
3,3,5,3,3,0.0,25.0,32.0,349758.0,-1262278632.0,2700.0,-7.0,1.0,22.0,16.0,140940.0,317273760.0,2700.0,6.0,2.0,22.0,28.0,84564.0,-420575782.0,2700.0,-6.0,3.0,22.0,19.0,55242.0,455868.0,2700.0,3.0,4.0,22.0,21.0,65286.0,431002242.0,2700.0,1.0,1.341640786499874,6.6105975524153635,122305.97675502207,685955561.056271,0.0,5.683308895353129
3,3,20,0,0,0.0,21.0,5.0,33426.0,33426.0,1080.0,16.0,1.0,10.0,7.0,50544.0,50544.0,1080.0,3.0,2.0,9.0,5.0,40932.0,40932.0,1080.0,4.0,3.0,8.0,5.0,55674.0,55674.0,1080.0,3.0,4.0,11.0,5.0,34272.0,34272.0,1080.0,6.0,5.263078946776307,0.8944271909999157,9869.823645840892,9869.823645840892,0.0,5.504543577809154
3,3,20,1,1,0.0,24.0,13.0,726354.0,2924370.0,2160.0,11.0,1.0,19.0,14.0,727866.0,1213380.0,2160.0,5.0,,,,,,,,3.0,21.0,12.0,1102248.0,16689726.0,2160.0,9.0,,,,,,,,2.5166114784235836,1.0,216587.3446995461,8484591.89844108,0.0,3.055050463303893
3,3,20,1,2,0.0,38.0,16.0,3307230.0,17544600.0,3240.0,22.0,,,,,,,,,,,,,,,3.0,24.0,15.0,1970568.0,75370662.0,3240.0,9.0,4.0,34.0,15.0,3350970.0,64114578.0,3240.0,19.0,7.211102550927978,0.5773502691896257,784653.6572960073,30657559.492897734,0.0,6.8068592855540455
3,3,20,1,3,,,,,,,,,,,,,,,,,,,,,,3.0,23.0,28.0,572670.0,1024812.0,4320.0,-5.0,4.0,26.0,21.0,1188756.0,3452058.0,4320.0,5.0,2.1213203435596424,4.949747468305833,435638.5883940953,1716322.1062079228,0.0,7.0710678118654755
3,3,20,2,1,,,,,,,,1.0,35.0,15.0,2339604.0,8147790.0,3240.0,20.0,2.0,47.0,29.0,4636278.0,9837612.0,3240.0,18.0,3.0,33.0,20.0,2897046.0,17261748.0,3240.0,13.0,,,,,,,,7.571877794400365,7.094598884597588,1197941.358850257,4848324.868170861,0.0,3.605551275463989
3,3,20,2,2,,,,,,,,1.0,163.0,36.0,32804352.0,107622594.0,5400.0,127.0,2.0,62.0,56.0,7156998.0,52665714.0,5400.0,6.0,3.0,332.0,42.0,69077448.0,-874002964.0,5400.0,290.0,,,,,,,,136.41969554772263,10.263202878893768,31111804.803613886,551561999.1690891,0.0,142.51666569212176
3,3,20,2,3,,,,,,,,,,,,,,,2.0,105.0,118.0,21476988.0,83748168.0,7560.0,-13.0,,,,,,,,4.0,317.0,68.0,69672960.0,2266534114.0,7560.0,249.0,149.90663761154806,35.35533905932738,34079698.62707697,1543462744.295293,0.0,185.26197667087544
3,3,20,3,1,,,,,,,,1.0,90.0,28.0,6978312.0,63513234.0,4320.0,62.0,2.0,88.0,37.0,12673098.0,333498708.0,4320.0,51.0,,,,,,,,,,,,,,,1.4142135623730951,6.363961030678928,4026821.798006214,190908559.4872643,0.0,7.7781745930520225
3,3,20,3,2,,,,,,,,1.0,309.0,88.0,71728254.0,591598724.0,7560.0,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,5,5,0,0,0.0,9.0,2.0,90.0,90.0,2430.0,7.0,1.0,6.0,3.0,108.0,108.0,2430.0,3.0,2.0,6.0,2.0,90.0,90.0,2430.0,4.0,3.0,9.0,2.0,108.0,108.0,2430.0,7.0,4.0,8.0,2.0,54.0,54.0,2430.0,6.0,1.51657508881031,0.44721359549995787,22.045407685048602,22.045407685048602,0.0,1.816590212458495
3,5,5,1,1,0.0,13.0,8.0,972.0,7290.0,4860.0,5.0,1.0,16.0,9.0,360.0,954.0,4860.0,7.0,2.0,13.0,5.0,648.0,972.0,4860.0,8.0,3.0,13.0,6.0,972.0,1242.0,4860.0,7.0,4.0,13.0,6.0,378.0,378.0,4860.0,7.0,1.3416407864998738,1.6431676725154984,301.73498305632376,2881.0010760150717,0.0,1.0954451150103321
3,5,5,1,2,0.0,14.0,6.0,1296.0,2106.0,7290.0,8.0,1.0,12.0,8.0,1782.0,75168.0,7290.0,4.0,2.0,15.0,9.0,5832.0,79218.0,7290.0,6.0,3.0,12.0,5.0,1080.0,2106.0,7290.0,7.0,4.0,12.0,6.0,1944.0,2430.0,7290.0,6.0,1.4142135623730951,1.6431676725154984,1957.602411114167,41092.857539966724,0.0,1.4832396974191329
3,5,5,1,3,0.0,13.0,10.0,2106.0,20412.0,9720.0,3.0,1.0,14.0,8.0,4860.0,5184.0,9720.0,6.0,2.0,14.0,5.0,1458.0,4536.0,9720.0,9.0,3.0,12.0,11.0,4374.0,835434.0,9720.0,1.0,4.0,14.0,7.0,1296.0,1296.0,9720.0,7.0,0.8944271909999159,2.3874672772626644,1678.0885554701815,370177.5930074645,0.0,3.1937438845342627
3,5,5,2,1,0.0,18.0,9.0,972.0,1458.0,7290.0,9.0,1.0,19.0,11.0,1998.0,9018.0,7290.0,8.0,2.0,19.0,13.0,2052.0,8100.0,7290.0,6.0,3.0,18.0,12.0,702.0,7290.0,7290.0,6.0,4.0,18.0,10.0,1350.0,2376.0,7290.0,8.0,0.5477225575051661,1.5811388300841898,603.0134326862047,3475.8974093030997,0.0,1.3416407864998738
3,5,5,2,2,0.0,17.0,10.0,4644.0,33804.0,12150.0,7.0,1.0,16.0,10.0,2376.0,20844.0,12150.0,6.0,2.0,17.0,12.0,4644.0,120690.0,12150.0,5.0,3.0,17.0,7.0,3294.0,6804.0,12150.0,10.0,4.0,19.0,10.0,2646.0,9666.0,12150.0,9.0,1.0954451150103324,1.7888543819998317,1078.243571740634,47235.90544067087,0.0,2.073644135332772
3,5,5,2,3,0.0,18.0,12.0,18630.0,427032.0,17010.0,6.0,,,,,,,,2.0,18.0,9.0,6156.0,160218.0,17010.0,9.0,3.0,18.0,12.0,2754.0,43902.0,17010.0,6.0,4.0,19.0,15.0,37422.0,1424628.0,17010.0,4.0,0.5,2.449489742783178,15683.839612798902,627949.2040061839,0.0,2.0615528128088303
3,5,5,3,1,0.0,23.0,14.0,2160.0,6804.0,9720.0,9.0,1.0,22.0,10.0,1242.0,1998.0,9720.0,12.0,2.0,23.0,13.0,2754.0,11826.0,9720.0,10.0,3.0,24.0,11.0,3186.0,11178.0,9720.0,13.0,4.0,21.0,11.0,1512.0,3672.0,9720.0,10.0,1.1401754250991378,1.6431676725154982,816.6328428369753,4382.75789885775,0.0,1.6431676725154984
3,5,5,3,2,0.0,22.0,13.0,20304.0,2836998.0,17010.0,9.0,1.0,23.0,15.0,33210.0,159354.0,17010.0,8.0,2.0,25.0,14.0,6048.0,3604932.0,17010.0,11.0,3.0,26.0,15.0,7452.0,312660.0,17010.0,11.0,4.0,24.0,12.0,3726.0,143478.0,17010.0,12.0,1.5811388300841898,1.3038404810405297,12453.118886447684,1675290.066586321,0.0,1.6431676725154984
3,5,5,3,3,0.0,27.0,16.0,37908.0,149202.0,24300.0,11.0,1.0,22.0,16.0,23004.0,927180.0,24300.0,6.0,2.0,34.0,18.0,24138.0,1291522536.0,24300.0,16.0,3.0,23.0,22.0,74844.0,157881906.0,24300.0,1.0,4.0,23.0,15.0,74196.0,3922884.0,24300.0,8.0,4.969909455915671,2.7928480087537886,25960.973864629963,563452615.3573388,0.0,5.594640292279746
3,5,20,0,0,0.0,21.0,20.0,1713636.0,1713636.0,9720.0,1.0,1.0,14.0,15.0,992412.0,992412.0,9720.0,-1.0,2.0,23.0,20.0,2178252.0,2178252.0,9720.0,3.0,3.0,44.0,40.0,5929686.0,5929686.0,9720.0,4.0,4.0,28.0,27.0,3013686.0,3013686.0,9720.0,1.0,11.247221879201993,9.710818709048171,1914992.7200265802,1914992.7200265802,0.0,1.9493588689617927
3,5,20,1,1,0.0,60.0,38.0,6343758.0,30230172.0,19440.0,22.0,,,,,,,,2.0,114.0,36.0,15478128.0,17064432.0,19440.0,78.0,3.0,92.0,38.0,13553082.0,58898340.0,19440.0,54.0,,,,,,,,27.15388247255507,1.1547005383792517,4815199.371711622,21390326.570579704,0.0,28.095076674273972
3,5,20,1,2,0.0,92.0,30.0,10056798.0,12348774.0,29160.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,5,0,0,0.0,8.0,1.0,96.0,96.0,240.0,7.0,1.0,8.0,2.0,208.0,208.0,240.0,6.0,2.0,8.0,2.0,112.0,112.0,240.0,6.0,3.0,8.0,2.0,256.0,256.0,240.0,6.0,4.0,9.0,2.0,208.0,208.0,240.0,7.0,0.4472135954999579,0.44721359549995804,68.81860213634101,68.81860213634101,0.0,0.5477225575051661
4,2,5,1,1,0.0,14.0,6.0,2176.0,2432.0,480.0,8.0,1.0,12.0,7.0,2048.0,3328.0,480.0,5.0,2.0,13.0,8.0,896.0,16704.0,480.0,5.0,3.0,15.0,6.0,768.0,1664.0,480.0,9.0,4.0,13.0,7.0,1088.0,6464.0,480.0,6.0,1.1401754250991378,0.8366600265340756,665.7230655460272,6192.574650337289,0.0,1.816590212458495
4,2,5,1,2,0.0,13.0,8.0,10432.0,21056.0,720.0,5.0,1.0,12.0,8.0,1280.0,2432.0,720.0,4.0,2.0,14.0,6.0,3584.0,13568.0,720.0,8.0,3.0,12.0,5.0,2112.0,3776.0,720.0,7.0,4.0,13.0,9.0,1984.0,2688.0,720.0,4.0,0.8366600265340756,1.6431676725154984,3758.222558604001,8307.313404464767,0.0,1.816590212458495
4,2,5,1,3,0.0,12.0,5.0,2048.0,8128.0,960.0,7.0,1.0,13.0,11.0,15040.0,18877120.0,960.0,2.0,2.0,13.0,6.0,9408.0,1314112.0,960.0,7.0,3.0,13.0,9.0,27904.0,102400.0,960.0,4.0,4.0,13.0,6.0,5632.0,33024.0,960.0,7.0,0.4472135954999579,2.5099800796022267,10105.577707385166,8297341.504761823,0.0,2.3021728866442674
4,2,5,2,1,0.0,17.0,9.0,3968.0,17280.0,720.0,8.0,1.0,16.0,11.0,3520.0,6272.0,720.0,5.0,2.0,19.0,10.0,5248.0,16000.0,720.0,9.0,3.0,17.0,12.0,4032.0,24640.0,720.0,5.0,4.0,17.0,10.0,928.0,2144.0,720.0,7.0,1.0954451150103324,1.1401754250991378,1594.1653615607133,9021.775612372545,0.0,1.7888543819998317
4,2,5,2,2,0.0,17.0,9.0,11008.0,343808.0,1200.0,8.0,1.0,17.0,12.0,3392.0,9728.0,1200.0,5.0,2.0,20.0,12.0,16768.0,990848.0,1200.0,8.0,3.0,19.0,13.0,14208.0,5410560.0,1200.0,6.0,4.0,17.0,9.0,3904.0,9344.0,1200.0,8.0,1.4142135623730951,1.8708286933869707,6026.034185100512,2303432.5868418203,0.0,1.4142135623730951
4,2,5,2,3,0.0,18.0,16.0,25152.0,536882176.0,1680.0,2.0,1.0,20.0,15.0,63680.0,117971008.0,1680.0,5.0,2.0,17.0,14.0,30400.0,357952.0,1680.0,3.0,3.0,18.0,12.0,46976.0,10494016.0,1680.0,6.0,4.0,18.0,19.0,74880.0,23865152.0,1680.0,-1.0,1.0954451150103324,2.588435821108957,21219.09359044349,227891414.26605248,0.0,2.7386127875258306
4,2,5,3,1,0.0,22.0,12.0,6784.0,272512.0,960.0,10.0,1.0,23.0,12.0,4352.0,69376.0,960.0,11.0,2.0,24.0,17.0,31680.0,1060672.0,960.0,7.0,3.0,23.0,12.0,13696.0,73280.0,960.0,11.0,4.0,22.0,11.0,7232.0,462976.0,960.0,11.0,0.8366600265340756,2.3874672772626644,11133.369804331482,409882.9557656674,0.0,1.7320508075688772
4,2,5,3,2,0.0,22.0,21.0,241408.0,100930944.0,1680.0,1.0,1.0,21.0,17.0,46720.0,109598848.0,1680.0,4.0,2.0,21.0,19.0,28544.0,537011392.0,1680.0,2.0,3.0,29.0,28.0,460032.0,-1409273472.0,1680.0,1.0,4.0,22.0,12.0,40192.0,469968896.0,1680.0,10.0,3.391164991562634,5.856620185738529,187787.35562119193,792172336.1216233,0.0,3.7815340802378077
4,2,5,3,3,0.0,35.0,37.0,206272.0,-2139086912.0,2400.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,50,0,0,0.0,151.0,146.0,32332944.0,32332944.0,2400.0,5.0,,,,,,,,2.0,493.0,475.0,127674640.0,127674640.0,2400.0,18.0,3.0,248.0,225.0,44786688.0,44792832.0,2400.0,23.0,4.0,71.0,74.0,13561168.0,14519632.0,2400.0,-3.0,183.07807988214574,174.5871320191344,50385881.36231519,50126937.58566615,0.0,11.89887949906769
